Ticker,Company_Name,First_Quarter,Last_Quarter,Index_Start_Date,Index_End_Date,First_Available_Price_Date
ADCT,"ADC Telecommunications, Inc.",1997Q1,2003Q3,1997-01-01,2003-09-30,2020-05-18
PSFT,"PeopleSoft, Inc.",1997Q1,2005Q3,1997-01-01,2005-09-30,None
PMTC,Parametric Technology Corporation,1997Q1,2001Q3,1997-01-01,2001-09-30,None
PHYC,"PhyCor, Inc.",1997Q1,1998Q3,1997-01-01,1998-09-30,None
PETM,"PETsMART, Inc.",1997Q1,2008Q4,1997-01-01,2008-12-31,None
PAIR,"PairGain Technologies, Inc.",1997Q1,1998Q3,1997-01-01,1998-09-30,None
PAGE,"Paging Network, Inc.",1997Q1,1997Q4,1997-01-01,1997-12-31,2016-07-26
OXHP,"Oxford Health Plans, Inc.",1997Q1,1998Q3,1997-01-01,1998-09-30,None
OSSI,"Outback Steakhouse, Inc.",1997Q1,1997Q4,1997-01-01,1997-12-31,None
NXTL,Unknown Company,1997Q1,2005Q2,1997-01-01,2005-06-30,None
NWAC,Northwest Airlines Corporation,1997Q1,2000Q3,1997-01-01,2000-09-30,None
NOVL,"Novell, Inc.",1997Q1,2001Q3,1997-01-01,2001-09-30,None
NOBE,"Nordstrom, Inc.",1997Q1,1999Q1,1997-01-01,1999-03-31,None
NETA,"Network Associates, Inc.",1997Q1,2000Q3,1997-01-01,2000-09-30,None
MXIM,"Maxim Integrated Products, Inc.",1997Q1,2021Q3,1997-01-01,2021-09-30,None
MUEI,"Micron Electronics, Inc.",1997Q1,1999Q3,1997-01-01,1999-09-30,None
QNTM,Quantum Corporation,1997Q1,1999Q2,1997-01-01,1999-06-30,2018-06-08
MCIC,MCI Communications Corporation,1997Q1,1998Q2,1997-01-01,1998-06-30,1997-09-17
QTRN,Quintiles Transnational Corp.,1997Q1,2000Q3,1997-01-01,2000-09-30,None
RWIN,"Republic Industries, Inc.",1997Q1,1997Q1,1997-01-01,1997-03-31,2026-04-08
XLNX,Unknown Company,1997Q1,2022Q3,1997-01-01,2022-09-30,None
WTHG,"Worthington Industries, Inc.",1997Q1,1999Q3,1997-01-01,1999-09-30,None
WCOEQ,"WorldCom, Inc.",1997Q1,2002Q2,1997-01-01,2002-06-30,None
WCLX,Wisconsin Central Transportation,1997Q1,1998Q3,1997-01-01,1998-09-30,None
VKNG,"Viking Office Products, Inc.",1997Q1,1998Q2,1997-01-01,1998-06-30,None
USRX,U.S. Robotics Corporation,1997Q1,1997Q1,1997-01-01,1997-03-31,None
TYSNA,"Tyson Foods, Inc. Class A",1997Q1,1997Q3,1997-01-01,1997-09-30,None
TCOMA,"Tele-Communications, Inc.",1997Q1,1998Q4,1997-01-01,1998-12-31,None
SYBS,"Sybase, Inc.",1997Q1,1998Q3,1997-01-01,1998-09-30,None
SUNW,Unknown Company,1997Q1,2006Q4,1997-01-01,2006-12-31,None
STRY,Stryker Corporation,1997Q1,1997Q2,1997-01-01,1997-06-30,None
SPLS,Unknown Company,1997Q1,2015Q4,1997-01-01,2015-12-31,2026-01-16
SNDT,"SunGard Data Systems, Inc.",1997Q1,1997Q1,1997-01-01,1997-03-31,None
SNDK,Unknown Company,1997Q1,2026Q3,1997-01-01,2026-07-10,2025-02-13
SIAL,Sigma-Aldrich Corporation,1997Q1,2015Q2,1997-01-01,2015-06-30,None
RPOW,"RPM, Inc.",1997Q1,1997Q4,1997-01-01,1997-12-31,None
MCCRK,"McCormick & Company, Incorporated",1997Q1,1999Q1,1997-01-01,1999-03-31,None
PHSY,"PacifiCare Health Systems, Inc",1997Q1,2000Q3,1997-01-01,2000-09-30,None
KMAG,"Komag, Incorporated",1997Q1,1997Q4,1997-01-01,1997-12-31,2026-06-24
CMCSK,Comcast Corporation -Special Class A,1997Q1,2002Q3,1997-01-01,2002-09-30,None
CHIR,Unknown Company,1997Q1,2006Q3,1997-01-01,2006-09-30,2018-12-07
CEXP,"Corporate Express, Inc.",1997Q1,1999Q3,1997-01-01,1999-09-30,None
CEFT,"Concord EFS, Inc.",1997Q1,2002Q3,1997-01-01,2002-09-30,None
BOST,"Boston Chicken, Inc.",1997Q1,1997Q4,1997-01-01,1997-12-31,None
BMET,Unknown Company,1997Q1,2007Q2,1997-01-01,2007-06-30,None
BMCS,"BMC Software, Inc.",1997Q1,2000Q4,1997-01-01,2000-12-31,2010-07-23
BBBY,Bed Bath & Beyond Inc.,1997Q1,2016Q4,1997-01-01,2016-12-31,2002-05-30
ATML,Atmel Corporation,1997Q1,2002Q3,1997-01-01,2002-09-30,None
ASND,"Ascend Communications, Inc.",1997Q1,1999Q1,1997-01-01,1999-03-31,2015-01-28
APCC,American Power Conversion Corporation,1997Q1,2006Q4,1997-01-01,2006-12-31,None
LLTC,Unknown Company,1997Q1,2016Q3,1997-01-01,2016-09-30,None
ALTR,Altera Corporation,1997Q1,2015Q3,1997-01-01,2015-09-30,None
AGREA,American Greetings Corporation,1997Q1,1997Q4,1997-01-01,1997-12-31,None
