Quarter,Missing_Count,Missing_Tickers
1997Q1,74,"ADCT (ADC Telecommunications, Inc.), ADPT (Adaptec, Inc.), AGREA (American Greetings Corporation), ALTR (Altera Corporation), ANDW (Andrew Corporation), APCC (American Power Conversion Corporation), ASND (Ascend Communications, Inc.), ATML (Atmel Corporation), BBBY (Bed Bath & Beyond Inc.), BMCS (BMC Software, Inc.), BMET (Unknown Company), BOST (Boston Chicken, Inc.), CEFT (Concord EFS, Inc.), CEXP (Corporate Express, Inc.), CHIR (Unknown Company), CMCSK (Comcast Corporation -Special Class A), CNTO (Centocor, Inc.), COMS (3Com Corporation), CPWR (Unknown Company), CSCC (Cascade Communications Corp.), DELL (Unknown Company), DIGI (DSC Communications Corporation), EFII (Electronics for Imaging, Inc.), ERTS (Unknown Company), FDLNB (Food Lion, Inc.), FHCC (First Health Group Corp.), FORE (FORE Systems, Inc.), FORT (Fort Howard Corporation), GART (Gartner Group, Inc. Class A), GATE (Gateway 2000, Inc.), GEMS (Glenayre Technologies, Inc.), GENZ (Unknown Company), GNCI (General Nutrition Companies, Inc.), HBOC (HBO & Company), IFMX (Informix Corporation), KMAG (Komag, Incorporated), LLTC (Unknown Company), MCCRK (McCormick & Company, Incorporated), MCIC (MCI Communications Corporation), MUEI (Micron Electronics, Inc.), MXIM (Maxim Integrated Products, Inc.), NETA (Network Associates, Inc.), NOBE (Nordstrom, Inc.), NOVL (Novell, Inc.), NWAC (Northwest Airlines Corporation), NXTL (Unknown Company), OSSI (Outback Steakhouse, Inc.), OXHP (Oxford Health Plans, Inc.), PAGE (Paging Network, Inc.), PAIR (PairGain Technologies, Inc.), PETM (PETsMART, Inc.), PHSY (PacifiCare Health Systems, Inc), PHYC (PhyCor, Inc.), PMTC (Parametric Technology Corporation), PSFT (PeopleSoft, Inc.), QNTM (Quantum Corporation), QTRN (Quintiles Transnational Corp.), RPOW (RPM, Inc.), RWIN (Republic Industries, Inc.), SIAL (Sigma-Aldrich Corporation), SNDK (Unknown Company), SNDT (SunGard Data Systems, Inc.), SPLS (Unknown Company), STRY (Stryker Corporation), SUNW (Unknown Company), SYBS (Sybase, Inc.), TCOMA (Tele-Communications, Inc.), TYSNA (Tyson Foods, Inc. Class A), USRX (U.S. Robotics Corporation), VKNG (Viking Office Products, Inc.), WCLX (Wisconsin Central Transportation), WCOEQ (WorldCom, Inc.), WTHG (Worthington Industries, Inc.), XLNX (Unknown Company)"
1997Q2,72,"ADCT (ADC Telecommunications, Inc.), ADPT (Adaptec, Inc.), AGREA (American Greetings Corporation), ALTR (Altera Corporation), ANDW (Andrew Corporation), APCC (American Power Conversion Corporation), ASND (Ascend Communications, Inc.), ATML (Atmel Corporation), BBBY (Bed Bath & Beyond Inc.), BMCS (BMC Software, Inc.), BMET (Unknown Company), BOST (Boston Chicken, Inc.), CEFT (Concord EFS, Inc.), CEXP (Corporate Express, Inc.), CHIR (Unknown Company), CMCSK (Comcast Corporation -Special Class A), CNTO (Centocor, Inc.), COMS (3Com Corporation), CPWR (Unknown Company), CSCC (Cascade Communications Corp.), DELL (Unknown Company), DIGI (DSC Communications Corporation), EFII (Electronics for Imaging, Inc.), ERTS (Unknown Company), FDLNB (Food Lion, Inc.), FHCC (First Health Group Corp.), FORE (FORE Systems, Inc.), FORT (Fort Howard Corporation), GART (Gartner Group, Inc. Class A), GEMS (Glenayre Technologies, Inc.), GENZ (Unknown Company), GNCI (General Nutrition Companies, Inc.), HBOC (HBO & Company), IFMX (Informix Corporation), KMAG (Komag, Incorporated), LLTC (Unknown Company), MCCRK (McCormick & Company, Incorporated), MCIC (MCI Communications Corporation), MLHR (Herman Miller, Inc.), MUEI (Micron Electronics, Inc.), MXIM (Maxim Integrated Products, Inc.), NETA (Network Associates, Inc.), NOBE (Nordstrom, Inc.), NOVL (Novell, Inc.), NSCP (Netscape Communications Corporation), NWAC (Northwest Airlines Corporation), NXTL (Unknown Company), OSSI (Outback Steakhouse, Inc.), OXHP (Oxford Health Plans, Inc.), PAGE (Paging Network, Inc.), PAIR (PairGain Technologies, Inc.), PETM (PETsMART, Inc.), PHSY (PacifiCare Health Systems, Inc), PHYC (PhyCor, Inc.), PMTC (Parametric Technology Corporation), PSFT (PeopleSoft, Inc.), QNTM (Quantum Corporation), QTRN (Quintiles Transnational Corp.), RPOW (RPM, Inc.), SIAL (Sigma-Aldrich Corporation), SNDK (Unknown Company), SPLS (Unknown Company), STRY (Stryker Corporation), SUNW (Unknown Company), SYBS (Sybase, Inc.), TCOMA (Tele-Communications, Inc.), TYSNA (Tyson Foods, Inc. Class A), VKNG (Viking Office Products, Inc.), WCLX (Wisconsin Central Transportation), WCOEQ (WorldCom, Inc.), WTHG (Worthington Industries, Inc.), XLNX (Unknown Company)"
1997Q3,70,"ADCT (ADC Telecommunications, Inc.), ADPT (Adaptec, Inc.), AGREA (American Greetings Corporation), ALTR (Altera Corporation), ANDW (Andrew Corporation), APCC (American Power Conversion Corporation), ASND (Ascend Communications, Inc.), ATML (Atmel Corporation), BBBY (Bed Bath & Beyond Inc.), BMCS (BMC Software, Inc.), BMET (Unknown Company), BOST (Boston Chicken, Inc.), CEFT (Concord EFS, Inc.), CEXP (Corporate Express, Inc.), CHIR (Unknown Company), CMCSK (Comcast Corporation -Special Class A), CNTO (Centocor, Inc.), COMS (3Com Corporation), CPWR (Unknown Company), DELL (Unknown Company), DIGI (DSC Communications Corporation), EFII (Electronics for Imaging, Inc.), ERTS (Unknown Company), FDLNB (Food Lion, Inc.), FHCC (First Health Group Corp.), FORE (FORE Systems, Inc.), GART (Gartner Group, Inc. Class A), GEMS (Glenayre Technologies, Inc.), GENZ (Unknown Company), GNCI (General Nutrition Companies, Inc.), HBOC (HBO & Company), IFMX (Informix Corporation), KMAG (Komag, Incorporated), LLTC (Unknown Company), MCCRK (McCormick & Company, Incorporated), MCIC (MCI Communications Corporation), MLHR (Herman Miller, Inc.), MUEI (Micron Electronics, Inc.), MXIM (Maxim Integrated Products, Inc.), NETA (Network Associates, Inc.), NOBE (Nordstrom, Inc.), NOVL (Novell, Inc.), NSCP (Netscape Communications Corporation), NWAC (Northwest Airlines Corporation), NXTL (Unknown Company), OFIS (U.S. Office Products Company), OSSI (Outback Steakhouse, Inc.), OXHP (Oxford Health Plans, Inc.), PAGE (Paging Network, Inc.), PAIR (PairGain Technologies, Inc.), PETM (PETsMART, Inc.), PHSY (PacifiCare Health Systems, Inc), PHYC (PhyCor, Inc.), PMTC (Parametric Technology Corporation), PSFT (PeopleSoft, Inc.), QNTM (Quantum Corporation), QTRN (Quintiles Transnational Corp.), RPOW (RPM, Inc.), SIAL (Sigma-Aldrich Corporation), SNDK (Unknown Company), SPLS (Unknown Company), SUNW (Unknown Company), SYBS (Sybase, Inc.), TCOMA (Tele-Communications, Inc.), TYSNA (Tyson Foods, Inc. Class A), VKNG (Viking Office Products, Inc.), WCLX (Wisconsin Central Transportation), WCOEQ (WorldCom, Inc.), WTHG (Worthington Industries, Inc.), XLNX (Unknown Company)"
1997Q4,70,"ADCT (ADC Telecommunications, Inc.), ADPT (Adaptec, Inc.), AGREA (American Greetings Corporation), ALTR (Altera Corporation), ANDW (Andrew Corporation), APCC (American Power Conversion Corporation), ASND (Ascend Communications, Inc.), ATML (Atmel Corporation), BBBY (Bed Bath & Beyond Inc.), BMCS (BMC Software, Inc.), BMET (Unknown Company), BOST (Boston Chicken, Inc.), CEFT (Concord EFS, Inc.), CEXP (Corporate Express, Inc.), CHIR (Unknown Company), CMCSK (Comcast Corporation -Special Class A), CNTO (Centocor, Inc.), COMS (3Com Corporation), CPWR (Unknown Company), DELL (Unknown Company), DIGI (DSC Communications Corporation), EFII (Electronics for Imaging, Inc.), ERTS (Unknown Company), FDLNB (Food Lion, Inc.), FHCC (First Health Group Corp.), FORE (FORE Systems, Inc.), GART (Gartner Group, Inc. Class A), GEMS (Glenayre Technologies, Inc.), GENZ (Unknown Company), GNCI (General Nutrition Companies, Inc.), HBOC (HBO & Company), IFMX (Informix Corporation), KMAG (Komag, Incorporated), LLTC (Unknown Company), MCCRK (McCormick & Company, Incorporated), MCIC (MCI Communications Corporation), MLHR (Herman Miller, Inc.), MUEI (Micron Electronics, Inc.), MXIM (Maxim Integrated Products, Inc.), NETA (Network Associates, Inc.), NOBE (Nordstrom, Inc.), NOVL (Novell, Inc.), NSCP (Netscape Communications Corporation), NWAC (Northwest Airlines Corporation), NXTL (Unknown Company), OFIS (U.S. Office Products Company), OSSI (Outback Steakhouse, Inc.), OXHP (Oxford Health Plans, Inc.), PAGE (Paging Network, Inc.), PAIR (PairGain Technologies, Inc.), PETM (PETsMART, Inc.), PHSY (PacifiCare Health Systems, Inc), PHYC (PhyCor, Inc.), PMTC (Parametric Technology Corporation), PSFT (PeopleSoft, Inc.), QNTM (Quantum Corporation), QTRN (Quintiles Transnational Corp.), RPOW (RPM, Inc.), SIAL (Sigma-Aldrich Corporation), SNDK (Unknown Company), SPLS (Unknown Company), SPOT (PanAmSat Corporation), SUNW (Unknown Company), SYBS (Sybase, Inc.), TCOMA (Tele-Communications, Inc.), VKNG (Viking Office Products, Inc.), WCLX (Wisconsin Central Transportation), WCOEQ (WorldCom, Inc.), WTHG (Worthington Industries, Inc.), XLNX (Unknown Company)"
1998Q1,73,"ADCT (ADC Telecommunications, Inc.), ADPT (Adaptec, Inc.), ALTR (Altera Corporation), AMFM (Chancellor Media Corporation), ANDW (Andrew Corporation), APCC (American Power Conversion Corporation), APOL (Apollo Group, Inc. ClA), ASND (Ascend Communications, Inc.), ATML (Atmel Corporation), AWIN (Allied Waste Industries, Inc.), BBBY (Bed Bath & Beyond Inc.), BMCS (BMC Software, Inc.), BMET (Unknown Company), CATP (Cambridge Technology Partners, Inc.), CEFT (Concord EFS, Inc.), CEXP (Corporate Express, Inc.), CHIR (Unknown Company), CMCSK (Comcast Corporation -Special Class A), CNTO (Centocor, Inc.), COMS (3Com Corporation), CPWR (Unknown Company), CTXS (Citrix Systems, Inc.), DELL (Unknown Company), DIGI (DSC Communications Corporation), DURA (Dura Pharmaceuticals, Inc.), EFII (Electronics for Imaging, Inc.), ERICY (LM Ericsson Telephone Co ADR), ERTS (Unknown Company), FDLNB (Food Lion, Inc.), FHCC (First Health Group Corp.), FORE (FORE Systems, Inc.), GART (Gartner Group, Inc. Class A), GENZ (Unknown Company), GNCI (General Nutrition Companies, Inc.), HBOC (HBO & Company), IMNX (Immunex Corporation), JCOR (Jacor Communications Inc.), LLTC (Unknown Company), MCCRK (McCormick & Company, Incorporated), MCIC (MCI Communications Corporation), MLHR (Herman Miller, Inc.), MUEI (Micron Electronics, Inc.), MXIM (Maxim Integrated Products, Inc.), NETA (Network Associates, Inc.), NOBE (Nordstrom, Inc.), NOVL (Novell, Inc.), NSCP (Netscape Communications Corporation), NWAC (Northwest Airlines Corporation), NXTL (Unknown Company), OFIS (U.S. Office Products Company), OXHP (Oxford Health Plans, Inc.), PAIR (PairGain Technologies, Inc.), PHSY (PacifiCare Health Systems, Inc), PHYC (PhyCor, Inc.), PMTC (Parametric Technology Corporation), PSFT (PeopleSoft, Inc.), QNTM (Quantum Corporation), QTRN (Quintiles Transnational Corp.), RTRSY (Reuters Holdings Plc ADR), RXSD (Rexall Sundown, Inc.), SIAL (Sigma-Aldrich Corporation), SNDK (Unknown Company), SPLS (Unknown Company), SPOT (PanAmSat Corporation), SUNW (Unknown Company), SYBS (Sybase, Inc.), TCOMA (Tele-Communications, Inc.), TECD (Tech Data Corporation), VKNG (Viking Office Products, Inc.), WCLX (Wisconsin Central Transportation), WCOEQ (WorldCom, Inc.), WTHG (Worthington Industries, Inc.), XLNX (Unknown Company)"
1998Q2,73,"ADCT (ADC Telecommunications, Inc.), ADPT (Adaptec, Inc.), ALTR (Altera Corporation), AMFM (Chancellor Media Corporation), ANDW (Andrew Corporation), APCC (American Power Conversion Corporation), APOL (Apollo Group, Inc. ClA), ASND (Ascend Communications, Inc.), ATML (Atmel Corporation), AWIN (Allied Waste Industries, Inc.), BBBY (Bed Bath & Beyond Inc.), BMCS (BMC Software, Inc.), BMET (Unknown Company), CATP (Cambridge Technology Partners, Inc.), CEFT (Concord EFS, Inc.), CEXP (Corporate Express, Inc.), CHIR (Unknown Company), CMCSK (Comcast Corporation -Special Class A), CNTO (Centocor, Inc.), COMS (3Com Corporation), CPWR (Unknown Company), CTXS (Citrix Systems, Inc.), DELL (Unknown Company), DIGI (DSC Communications Corporation), DURA (Dura Pharmaceuticals, Inc.), EFII (Electronics for Imaging, Inc.), ERICY (LM Ericsson Telephone Co ADR), ERTS (Unknown Company), FDLNB (Food Lion, Inc.), FHCC (First Health Group Corp.), FORE (FORE Systems, Inc.), GART (Gartner Group, Inc. Class A), GENZ (Unknown Company), GNCI (General Nutrition Companies, Inc.), HBOC (HBO & Company), IMNX (Immunex Corporation), JCOR (Jacor Communications Inc.), LLTC (Unknown Company), MCCRK (McCormick & Company, Incorporated), MCIC (MCI Communications Corporation), MLHR (Herman Miller, Inc.), MUEI (Micron Electronics, Inc.), MXIM (Maxim Integrated Products, Inc.), NETA (Network Associates, Inc.), NOBE (Nordstrom, Inc.), NOVL (Novell, Inc.), NSCP (Netscape Communications Corporation), NWAC (Northwest Airlines Corporation), NXTL (Unknown Company), OFIS (U.S. Office Products Company), OXHP (Oxford Health Plans, Inc.), PAIR (PairGain Technologies, Inc.), PHSY (PacifiCare Health Systems, Inc), PHYC (PhyCor, Inc.), PMTC (Parametric Technology Corporation), PSFT (PeopleSoft, Inc.), QNTM (Quantum Corporation), QTRN (Quintiles Transnational Corp.), RTRSY (Reuters Holdings Plc ADR), RXSD (Rexall Sundown, Inc.), SIAL (Sigma-Aldrich Corporation), SNDK (Unknown Company), SPLS (Unknown Company), SPOT (PanAmSat Corporation), SUNW (Unknown Company), SYBS (Sybase, Inc.), TCOMA (Tele-Communications, Inc.), TECD (Tech Data Corporation), VKNG (Viking Office Products, Inc.), WCLX (Wisconsin Central Transportation), WCOEQ (WorldCom, Inc.), WTHG (Worthington Industries, Inc.), XLNX (Unknown Company)"
1998Q3,73,"ADCT (ADC Telecommunications, Inc.), ADPT (Adaptec, Inc.), ALTR (Altera Corporation), AMFM (Chancellor Media Corporation), ANDW (Andrew Corporation), APCC (American Power Conversion Corporation), APOL (Apollo Group, Inc. ClA), ASND (Ascend Communications, Inc.), ATML (Atmel Corporation), AWIN (Allied Waste Industries, Inc.), BBBY (Bed Bath & Beyond Inc.), BMCS (BMC Software, Inc.), BMET (Unknown Company), CATP (Cambridge Technology Partners, Inc.), CEFT (Concord EFS, Inc.), CEXP (Corporate Express, Inc.), CHIR (Unknown Company), CMCSK (Comcast Corporation -Special Class A), CNTO (Centocor, Inc.), COMS (3Com Corporation), CPWR (Unknown Company), CTXS (Citrix Systems, Inc.), DELL (Unknown Company), DURA (Dura Pharmaceuticals, Inc.), EFII (Electronics for Imaging, Inc.), ERICY (LM Ericsson Telephone Co ADR), ERTS (Unknown Company), FDLNB (Food Lion, Inc.), FHCC (First Health Group Corp.), FORE (FORE Systems, Inc.), GENZ (Unknown Company), GNCI (General Nutrition Companies, Inc.), HBOC (HBO & Company), IACI (Unknown Company), IMNX (Immunex Corporation), JCOR (Jacor Communications Inc.), LLTC (Unknown Company), LVLT (Level 3 Communications, Inc.), MCCRK (McCormick & Company, Incorporated), MLHR (Herman Miller, Inc.), MUEI (Micron Electronics, Inc.), MXIM (Maxim Integrated Products, Inc.), NETA (Network Associates, Inc.), NOBE (Nordstrom, Inc.), NOVL (Novell, Inc.), NSCP (Netscape Communications Corporation), NWAC (Northwest Airlines Corporation), NXTL (Unknown Company), OFIS (U.S. Office Products Company), OXHP (Oxford Health Plans, Inc.), PAIR (PairGain Technologies, Inc.), PHSY (PacifiCare Health Systems, Inc), PHYC (PhyCor, Inc.), PMTC (Parametric Technology Corporation), PSFT (PeopleSoft, Inc.), QNTM (Quantum Corporation), QTRN (Quintiles Transnational Corp.), QWST (Qwest Communications International, Inc.), RTRSY (Reuters Holdings Plc ADR), RXSD (Rexall Sundown, Inc.), SIAL (Sigma-Aldrich Corporation), SNDK (Unknown Company), SPLS (Unknown Company), SPOT (PanAmSat Corporation), SUNW (Unknown Company), SYBS (Sybase, Inc.), TCOMA (Tele-Communications, Inc.), TECD (Tech Data Corporation), WCLX (Wisconsin Central Transportation), WCOEQ (WorldCom, Inc.), WTHG (Worthington Industries, Inc.), XLNX (Unknown Company), YHOO (Yahoo! Inc.)"
1998Q4,70,"ADCT (ADC Telecommunications, Inc.), ADPT (Adaptec, Inc.), ALTR (Altera Corporation), AMFM (Chancellor Media Corporation), ANDW (Andrew Corporation), APCC (American Power Conversion Corporation), APOL (Apollo Group, Inc. ClA), ASND (Ascend Communications, Inc.), ATML (Atmel Corporation), BBBY (Bed Bath & Beyond Inc.), BMCS (BMC Software, Inc.), BMET (Unknown Company), CATP (Cambridge Technology Partners, Inc.), CEFT (Concord EFS, Inc.), CEXP (Corporate Express, Inc.), CHIR (Unknown Company), CMCSK (Comcast Corporation -Special Class A), CNTO (Centocor, Inc.), COMR (Comair Holdings, Inc.), COMS (3Com Corporation), CPWR (Unknown Company), CTXS (Citrix Systems, Inc.), DELL (Unknown Company), EFII (Electronics for Imaging, Inc.), ERICY (LM Ericsson Telephone Co ADR), ERTS (Unknown Company), FDLNB (Food Lion, Inc.), FHCC (First Health Group Corp.), FORE (FORE Systems, Inc.), GENZ (Unknown Company), HBOC (HBO & Company), IACI (Unknown Company), IMNX (Immunex Corporation), JCOR (Jacor Communications Inc.), LLTC (Unknown Company), LNCR (Lincare Holdings, Inc.), LVLT (Level 3 Communications, Inc.), MCCRK (McCormick & Company, Incorporated), MCLD (McLeodUSA Incorporated), MLHR (Herman Miller, Inc.), MUEI (Micron Electronics, Inc.), MXIM (Maxim Integrated Products, Inc.), NETA (Network Associates, Inc.), NOBE (Nordstrom, Inc.), NOVL (Novell, Inc.), NSCP (Netscape Communications Corporation), NTLI (NTL Incorporated), NWAC (Northwest Airlines Corporation), NXTL (Unknown Company), PHSY (PacifiCare Health Systems, Inc), PMTC (Parametric Technology Corporation), PSFT (PeopleSoft, Inc.), QNTM (Quantum Corporation), QTRN (Quintiles Transnational Corp.), QWST (Qwest Communications International, Inc.), RTRSY (Reuters Holdings Plc ADR), RXSD (Rexall Sundown, Inc.), SIAL (Sigma-Aldrich Corporation), SNDK (Unknown Company), SPLS (Unknown Company), SPOT (PanAmSat Corporation), SUNW (Unknown Company), TCOMA (Tele-Communications, Inc.), TECD (Tech Data Corporation), VRTS (VERITAS Software Corporation), VTSS (Vitesse Semiconductor Corporation), WCOEQ (WorldCom, Inc.), WTHG (Worthington Industries, Inc.), XLNX (Unknown Company), YHOO (Yahoo! Inc.)"
1999Q1,69,"ADCT (ADC Telecommunications, Inc.), ADPT (Adaptec, Inc.), ALTR (Altera Corporation), AMFM (Chancellor Media Corporation), ANDW (Andrew Corporation), APCC (American Power Conversion Corporation), APOL (Apollo Group, Inc. ClA), ASND (Ascend Communications, Inc.), ATHMQ (At Home Corporation), ATML (Atmel Corporation), BBBY (Bed Bath & Beyond Inc.), BMCS (BMC Software, Inc.), BMET (Unknown Company), CATP (Cambridge Technology Partners, Inc.), CEFT (Concord EFS, Inc.), CEXP (Corporate Express, Inc.), CHIR (Unknown Company), CMCSK (Comcast Corporation -Special Class A), CMGI (CMGI, Inc.), CNTO (Centocor, Inc.), COMR (Comair Holdings, Inc.), COMS (3Com Corporation), CPWR (Unknown Company), CTXS (Citrix Systems, Inc.), DELL (Unknown Company), EFII (Electronics for Imaging, Inc.), ERICY (LM Ericsson Telephone Co ADR), ERTS (Unknown Company), FDLNB (Food Lion, Inc.), FHCC (First Health Group Corp.), FORE (FORE Systems, Inc.), GENZ (Unknown Company), IACI (Unknown Company), IMNX (Immunex Corporation), JCOR (Jacor Communications Inc.), LLTC (Unknown Company), LNCR (Lincare Holdings, Inc.), LVLT (Level 3 Communications, Inc.), MCCRK (McCormick & Company, Incorporated), MCLD (McLeodUSA Incorporated), MLHR (Herman Miller, Inc.), MUEI (Micron Electronics, Inc.), MXIM (Maxim Integrated Products, Inc.), NETA (Network Associates, Inc.), NOBE (Nordstrom, Inc.), NOVL (Novell, Inc.), NTLI (NTL Incorporated), NWAC (Northwest Airlines Corporation), NXTL (Unknown Company), PHSY (PacifiCare Health Systems, Inc), PMTC (Parametric Technology Corporation), PSFT (PeopleSoft, Inc.), QNTM (Quantum Corporation), QTRN (Quintiles Transnational Corp.), QWST (Qwest Communications International, Inc.), RTRSY (Reuters Holdings Plc ADR), RXSD (Rexall Sundown, Inc.), SIAL (Sigma-Aldrich Corporation), SNDK (Unknown Company), SPLS (Unknown Company), SPOT (PanAmSat Corporation), SUNW (Unknown Company), TECD (Tech Data Corporation), VRTS (VERITAS Software Corporation), VTSS (Vitesse Semiconductor Corporation), WCOEQ (WorldCom, Inc.), WTHG (Worthington Industries, Inc.), XLNX (Unknown Company), YHOO (Yahoo! Inc.)"
1999Q2,69,"ADCT (ADC Telecommunications, Inc.), ADPT (Adaptec, Inc.), ALTR (Altera Corporation), AMFM (Chancellor Media Corporation), ANDW (Andrew Corporation), APCC (American Power Conversion Corporation), APOL (Apollo Group, Inc. ClA), ATHMQ (At Home Corporation), ATML (Atmel Corporation), BBBY (Bed Bath & Beyond Inc.), BMCS (BMC Software, Inc.), BMET (Unknown Company), CATP (Cambridge Technology Partners, Inc.), CEFT (Concord EFS, Inc.), CEXP (Corporate Express, Inc.), CHIR (Unknown Company), CMCSK (Comcast Corporation -Special Class A), CMGI (CMGI, Inc.), CNET (CNET, Inc.), CNTO (Centocor, Inc.), COMR (Comair Holdings, Inc.), COMS (3Com Corporation), CPWR (Unknown Company), CTXS (Citrix Systems, Inc.), DELL (Unknown Company), EFII (Electronics for Imaging, Inc.), ERICY (LM Ericsson Telephone Co ADR), ERTS (Unknown Company), FDLNB (Food Lion, Inc.), FHCC (First Health Group Corp.), GENZ (Unknown Company), IACI (Unknown Company), IMNX (Immunex Corporation), JDSU (Unknown Company), LCOS (Lycos, Inc.), LLTC (Unknown Company), LNCR (Lincare Holdings, Inc.), LVLT (Level 3 Communications, Inc.), MCLD (McLeodUSA Incorporated), MLHR (Herman Miller, Inc.), MUEI (Micron Electronics, Inc.), MXIM (Maxim Integrated Products, Inc.), NETA (Network Associates, Inc.), NOVL (Novell, Inc.), NTLI (NTL Incorporated), NWAC (Northwest Airlines Corporation), NXTL (Unknown Company), PHSY (PacifiCare Health Systems, Inc), PMTC (Parametric Technology Corporation), PSFT (PeopleSoft, Inc.), QNTM (Quantum Corporation), QTRN (Quintiles Transnational Corp.), QWST (Qwest Communications International, Inc.), RTRSY (Reuters Holdings Plc ADR), RXSD (Rexall Sundown, Inc.), SEBL (Siebel Systems, Inc.), SIAL (Sigma-Aldrich Corporation), SNDK (Unknown Company), SPLS (Unknown Company), SPOT (PanAmSat Corporation), SUNW (Unknown Company), TECD (Tech Data Corporation), VISX (VISX, Incorporated), VRTS (VERITAS Software Corporation), VTSS (Vitesse Semiconductor Corporation), WCOEQ (WorldCom, Inc.), WTHG (Worthington Industries, Inc.), XLNX (Unknown Company), YHOO (Yahoo! Inc.)"
