Ticker,Company,Price,Shares_Outstanding,Market_Cap_USD,Weight
NVDA,NVDA,175.54541015625,24221000000.0,4251885379394.5312,0.11462682477112546
AAPL,AAPL,255.3946990966797,14687356000.0,3751072866145.813,0.11462682477112546
MSFT,MSFT,368.57171630859375,7428434704.0,2737910928339.6006,0.11462682477112546
AMZN,AMZN,210.57000732421875,10757109436.0,2265124612725.9424,0.10336667509684419
GOOGL,GOOGL,297.2124938964844,5867155790.0,1743792004425.098,0.079576187793467
GOOG,GOOG,294.7226257324219,5499638298.0,1620867839765.1477,0.0739666676290709
AVGO,AVGO,312.99462890625,4757580198.0,1489097048564.7334,0.06795344059302029
TSLA,TSLA,381.260009765625,3755723871.0,1431907319734.451,0.06534364504991227
META,META,578.6936645507812,2196045588.0,1270837668840.2952,0.057993394128440026
WMT,WMT,124.50239562988281,7958079155.0,990799919409.7335,0.04521415412653794
ASML,ASML,1356.7965087890625,385417665.0,522933342297.63245,0.023863535183406778
COST,COST,995.1160278320312,443478804.0,441312865864.17993,0.020138867135853722
MU,MU,367.8500061035156,1127734051.0,414836977543.49243,0.01893066669929966
NFLX,NFLX,95.55000305175781,4210798528.0,402341812200.7373,0.018360462442540654
AMD,AMD,210.2100067138672,1630600639.0,342768571271.8261,0.015641897730926783
PLTR,PLTR,146.49000549316406,2296071334.0,336351502330.35657,0.015349061267705154
CSCO,CSCO,77.51000213623047,3941434665.0,305500609303.9628,0.013941211907899284
AMAT,AMAT,353.3606872558594,793959430.0,280554049838.0704,0.012802800849802235
LRCX,LRCX,221.8537139892578,1250571000.0,277443820957.26013,0.012660868694549797
INTC,INTC,48.029998779296875,5026000000.0,241398773864.7461,0.01101598935734702
