Ticker,Company,Price,Shares_Outstanding,Market_Cap_USD,Weight,Allocation_USD,Shares_To_Buy,Shares_To_Buy_Rounded
NVDA,NVDA,197.5800018310547,24221000000.0,4785585224349.976,0.11121997262418006,1112199.7262418005,5629.110820602241,5629.0
AAPL,AAPL,294.3800048828125,14687356000.0,4323663930995.6055,0.11121997262418006,1112199.7262418005,3778.108933331079,3778.0
MSFT,MSFT,384.2799987792969,7428434704.0,2854598878985.2065,0.10486726346037135,1048672.6346037136,2728.928484269088,2729.0
AMZN,AMZN,241.6999969482422,10757109436.0,2599993317853.1074,0.09551400943429006,955140.0943429006,3951.758818381098,3952.0
GOOGL,GOOGL,361.2099914550781,5867155790.0,2119275292771.5122,0.07785423097732448,778542.3097732448,2155.373129732676,2155.0
GOOG,GOOG,357.8900146484375,5499638298.0,1968265631032.328,0.07230670200600568,723067.0200600568,2020.3609781355312,2020.0
AVGO,AVGO,369.3399963378906,4757580198.0,1757164652906.541,0.06455164329956886,645516.4329956886,1747.7566453570278,1748.0
TSLA,TSLA,425.29998779296875,3755723871.0,1597309316490.0613,0.05867915739517706,586791.5739517706,1379.7121815047267,1380.0
META,META,612.9099731445312,2196045588.0,1345978242365.2463,0.049446195748602526,494461.95748602523,806.7448388042878,807.0
SPCX,SPCX,157.5399932861328,7571396888.0,1192797814902.167,0.04381892098085877,438189.20980858774,2781.4474322893,2781.0
MU,MU,1032.121337890625,1127734051.0,1163958377502.9343,0.042759468144224384,427594.68144224386,414.2872216130431,414.0
AMD,AMD,540.8800048828125,1630600639.0,881959281584.2372,0.03239987832409338,323998.7832409338,599.0215580461911,599.0
WMT,WMT,108.81999969482422,7958079155.0,865998171218.4869,0.03181352695326953,318135.2695326953,2923.500003904399,2924.0
ASML,ASML,1843.0400390625,385417665.0,710340188356.9775,0.026095236086340175,260952.36086340176,141.58800423898577,142.0
INTC,INTC,127.0199966430664,5026000000.0,638402503128.0518,0.02345251516146094,234525.15161460938,1846.364019939622,1846.0
CSCO,CSCO,116.57390594482422,3941434665.0,459468433925.37976,0.016879148123713224,168791.48123713225,1447.9353665735728,1448.0
COST,COST,923.2021484375,443478804.0,409420584639.29297,0.015040577725838342,150405.77725838343,162.91749051163063,163.0
NFLX,NFLX,74.19000244140625,4210798528.0,312399153072.58984,0.011476373977175491,114763.73977175492,1546.8895537831122,1547.0
PLTR,PLTR,125.7300033569336,2296071334.0,288685056531.579,0.010605206953325568,106052.06953325568,843.4905488086687,843.0
