ticker,name,weight,shares_held,market_value,isin,cusip,sedol
LIN,Linde plc,14.81,1352168,672960491.92,IE000S9YS762,G54950103,BNZHB81
NEM,Newmont Goldcorp Corp.,7.61,3151199,346033162.19,US6516391066,651639106,2636607
FCX,Freeport-McMoRan Inc.,6.06,4193693,275567567.03,US35671D8570,35671D857,2352118
CRH,CRH plc,4.68,1953279,212497222.41,IE0001827041,G25508105,B01ZKD6
SHW,Sherwin-Williams Co.,4.58,685706,208344911.04,US8243481061,824348106,2804211
ECL,Ecolab Inc.,4.18,741694,189873664.0,US2788651006,278865100,2304227
APD,Air Products & Chemicals Inc.,3.62,590218,164446539.16,US0091581068,009158106,2011602
NUE,Nucor Corp.,3.56,648021,162005250.0,US6703461052,670346105,2651086
CTVA,Corteva Inc.,3.37,1959002,153350676.56,US22052L1044,22052L104,BK73B42
VMC,Vulcan Materials Co.,2.37,380682,107702551.44,US9291601097,929160109,2931205
STLD,Steel Dynamics Inc.,2.3,401622,104481963.3,US8581191009,858119100,2849472
MLM,Martin Marietta Materials Inc.,2.25,175824,102266271.36,US5732841060,573284106,2572079
AMRZ,Amrize Ltd.,1.74,1452483,79000550.37,CH1430134226,,BV5F675
PPG,PPG Industries Inc.,1.62,653036,73780007.28,US6935061076,693506107,2698470
DOW,Dow Inc.,1.56,2099827,70869161.25,US2605571031,260557103,BHXCF84
SW,Smurfit Westrock plc,1.38,1529752,62949294.8,IE00028FXN24,G8267P108,BRK49M5
ALB,Albemarle Corp.,1.33,343873,60666074.66,US0126531013,012653101,2046853
AA,Alcoa Corp.,1.32,769938,59777986.32,US0138721065,013872106,BYNF418
CDE,Coeur Mining Inc.,1.28,3018692,58321129.44,US1921085049,192108504,2208136
DD,DuPont de Nemours Inc.,1.27,1195941,57907463.22,US26614N1028,26614N102,BK0VN47
PKG,Packaging Corp. of America,1.25,259780,56868439.8,US6951561090,695156109,2504566
RS,Reliance Steel & Aluminum Co.,1.25,149133,56785372.41,US7595091023,759509102,2729068
RGLD,Royal Gold Inc.,1.22,247555,55571146.4,US7802871084,780287108,2755706
IFF,International Flavors & Fragrances Inc.,1.22,726726,55267512.3,US4595061015,459506101,2464165
AMCR,Amcor plc,1.15,1348225,52338094.5,JE00BV7DQ550,G0250X107,BV7DQ55
CF,CF Industries Holdings Inc.,1.11,448250,50360887.5,US1252691001,125269100,B0G4K50
LYB,LyondellBasell Industries NV Class A,1.1,752068,50125332.2,NL0009434992,N53745100,B3SPXZ3
IP,International Paper Co.,1.08,1467768,49126194.96,US4601461035,460146103,2465254
