ticker,name,weight,shares_held,market_value,isin,cusip,sedol
ALAB,Astera Labs Inc.,1.38,1874007,642503299.95,US04626A1034,04626A103,BMTQ7V2
CIEN,Ciena Corp.,1.14,916165,531586417.95,US1717793095,171779309,B1FLZ21
RKLB,Rocket Lab Corp.,1.13,3674919,527277378.12,US7731211089,773121108,BT6C8Z3
CRDO,Credo Technology Group Holding Ltd.,1.06,2105727,497014743.81,KYG254571055,G25457105,BLD13F2
BE,Bloom Energy Corp. Class A,1.05,1726089,491935365.0,US0937121079,093712107,BDD1BB8
COHR,Coherent Corp.,0.94,1214263,438919646.61,US19247G1076,19247G107,BNG8Z81
FIX,Comfort Systems USA Inc.,0.89,227807,416479035.47,US1999081045,199908104,2036047
RVMD,Revolution Medicines Inc.,0.87,2568351,404463915.48,US76155X1000,76155X100,BL71K91
LITE,Lumentum Holdings Inc.,0.85,462388,395323244.48,US55024U1097,55024U109,BYM9ZP2
NTRA,Natera Inc.,0.82,1715956,383293091.72,US6323071042,632307104,BYQRG48
ASTS,AST SpaceMobile Inc. Class A,0.82,3362356,381324793.96,US00217D1000,00217D100,BNLZ3X8
TWLO,Twilio Inc. Class A,0.8,1962365,374105263.6,US90138F1021,90138F102,BD6P5Q0
CASY,Casey's General Stores Inc.,0.79,480139,368333832.46,US1475281036,147528103,2179414
CW,Curtiss-Wright Corp.,0.76,477589,357050312.29,US2315611010,231561101,2241205
FTI,TechnipFMC plc,0.76,5180949,354480530.58,GB00BDSFG982,G87110105,BDSFG98
NVT,nVent Electric plc,0.75,2094982,349841044.18,IE00BDVJJQ56,G6700G107,BDVJJQ5
FTAI,FTAI Aviation Ltd.,0.74,1328661,345903604.74,KYG3730V1059,G3730V105,BLKFTK4
STRL,Sterling Construction Co. Inc.,0.7,377085,324609851.4,US8592411016,859241101,2632876
P,Pure Storage Inc. Class A,0.69,4062901,323041258.51,US74624M1027,74624M102,BYZ62T3
MTSI,MACOM Technology Solutions Holdings Inc.,0.68,874584,318908309.76,US55405Y1001,55405Y100,B5B15Y5
ATI,Allegheny Technologies Inc.,0.67,1773620,310667279.2,US01741R1023,01741R102,2526117
MTZ,MasTec Inc.,0.66,817515,309323150.55,US5763231090,576323109,2155306
FN,Fabrinet,0.65,464052,303564256.32,KYG3323L1005,G3323L100,B4JSZL8
SOFI,SoFi Technologies Inc.,0.64,16518193,300961476.46,US83406F1021,83406F102,BM8J4C2
CRS,Carpenter Technology Corp.,0.62,612872,287424710.56,US1442851036,144285103,2177504
NXT,Nextpower Inc. Class A,0.61,1826772,285707140.8,US65290E1010,65290E101,BR1GTS6
ENTG,Entegris Inc.,0.59,1968650,273228933.5,US29362U1043,29362U104,2599700
OKTA,Okta Inc.,0.58,2194284,270489388.68,US6792951054,679295105,BDFZSP1
WWD,Woodward Inc.,0.58,772104,270259563.12,US9807451037,980745103,2948089
IONQ,IonQ Inc.,0.57,3674209,264800242.63,US46222L1089,46222L108,BP484B3
FWONK,Liberty Media Corp-Liberty Formula One,0.56,2898268,263133751.72,US5312297550,531229755,BPLYVN5
LSCC,Lattice Semiconductor Corp.,0.56,1771559,260560897.72,US5184151042,518415104,2506658
RBA,RB Global Inc.,0.55,2407706,256059533.1,CA74935Q1072,74935Q107,BMWGSD8
AFRM,Affirm Holdings Inc.,0.54,3408344,251024535.6,US00827B1061,00827B106,BMF9NM8
RGLD,Royal Gold Inc.,0.53,1098986,246700377.28,US7802871084,780287108,2755706
EME,EMCOR Group Inc.,0.51,288385,238442485.7,US29084Q1004,29084Q100,2474164
RBC,RBC Bearings Inc.,0.5,409422,234173007.12,US75524B1044,75524B104,B0GLYB5
BWXT,BWX Technologies Inc.,0.5,1184147,231950714.36,US05605H1005,05605H100,BZ0W624
TLN,Talen Energy Corp.,0.49,591685,228863758.0,US87422Q1094,87422Q109,BRRF114
EQT,EQT Corp.,0.48,4042102,222032662.86,US26884L1098,26884L109,2319414
ROKU,Roku Inc.,0.47,1692962,220389793.16,US77543R1023,77543R102,BZ1LFG7
PTC,PTC Inc.,0.46,1540657,213735345.61,US69370C1009,69370C100,B95N910
INCY,Incyte Corp.,0.45,2190268,211886526.32,US45337C1027,45337C102,2471950
GNRC,Generac Holdings Inc.,0.45,759809,211158519.19,US3687361044,368736104,B6197Q2
DECK,Deckers Outdoor Corp.,0.45,1838545,209318348.25,US2435371073,243537107,2267278
GH,Guardant Health Inc.,0.45,1613713,209282438.97,US40131M1099,40131M109,BFXC911
NBIX,Neurocrine Biosciences Inc.,0.44,1299435,205700560.5,US64125C1099,64125C109,2623911
SITM,SiTime Corp.,0.44,289460,205574492.0,US82982T1060,82982T106,BKS48R6
LII,Lennox International Inc.,0.44,405627,203689654.32,US5261071071,526107107,2442053
RMBS,Rambus Inc.,0.43,1395705,203019249.3,US7509171069,750917106,2721967
FSLR,First Solar Inc.,0.43,660017,202486615.43,US3364331070,336433107,B1HMF22
SUI,Sun Communities Inc.,0.42,1595979,197358763.14,US8666741041,866674104,2860257
NDSN,Nordson Corp.,0.42,686209,197168431.97,US6556631025,655663102,2641838
RIVN,Rivian Automotive Inc. Class A,0.42,12021803,195955388.9,US76954A1034,76954A103,BL98841
