ticker,name,weight,shares_held,market_value,isin,cusip,sedol
FLEX,Flex Ltd.,1.25,5450682,821853831.96,SG9999000020,Y2573F102,2353058
JBL,Jabil Inc.,0.82,1487154,542156862.24,US4663131039,466313103,2471789
TPR,Tapestry Inc.,0.66,3001483,436595717.18,US8760301072,876030107,BF09HX3
NRG,NRG Energy Inc.,0.64,3148426,422140958.08,US6293775085,629377508,2212922
ATO,Atmos Energy Corp.,0.63,2452596,414807561.48,US0495601058,049560105,2315359
UTHR,United Therapeutics Corp.,0.55,649735,361785442.7,US91307C1027,91307C102,2430412
WSM,Williams-Sonoma Inc.,0.55,1769792,360276557.44,US9699041011,969904101,2967589
ILMN,Illumina Inc.,0.53,2153371,350913338.16,US4523271090,452327109,2613990
OMC,Omnicom Group Inc.,0.51,4600648,334513116.08,US6819191064,681919106,2279303
MKSI,MKS Instruments Inc.,0.49,996941,323268088.66,US55306N1046,55306N104,2404871
FFIV,F5 Networks Inc.,0.49,837884,321286619.8,US3156161024,315616102,2427599
AKAM,Akamai Technologies Inc.,0.49,2147933,321201900.82,US00971T1016,00971T101,2507457
SW,Smurfit Westrock plc,0.48,7743146,318630457.9,IE00028FXN24,G8267P108,BRK49M5
CHRW,CH Robinson Worldwide Inc.,0.48,1758527,314160848.55,US12541W2098,12541W209,2116228
JBHT,JB Hunt Transport Services Inc.,0.47,1121989,310151419.27,US4456581077,445658107,2445416
AA,Alcoa Corp.,0.46,3911365,303678378.6,US0138721065,013872106,BYNF418
DD,DuPont de Nemours Inc.,0.45,6062207,293532062.94,US26614N1028,26614N102,BK0VN47
RS,Reliance Steel & Aluminum Co.,0.44,766934,292025459.18,US7595091023,759509102,2729068
BG,Bunge Global SA,0.43,2294982,282971280.6,CH1300646267,H11356104,BQ6BPG9
SNX,SYNNEX Corp.,0.43,1075741,281069608.48,US87162W1009,87162W100,2002554
VTRS,Viatris Inc.,0.42,17069118,277543858.68,US92556V1061,92556V106,BMWS3X9
EME,EMCOR Group Inc.,0.41,330093,272927494.26,US29084Q1004,29084Q100,2474164
USFD,US Foods Holding Corp.,0.41,3269485,267607347.25,US9120081099,912008109,BYVFC94
STLD,Steel Dynamics Inc.,0.41,1028344,267523691.6,US8581191009,858119100,2849472
WCC,WESCO International Inc.,0.4,721408,260550927.36,US95082P1057,95082P105,2416973
CF,CF Industries Holdings Inc.,0.39,2278107,255945321.45,US1252691001,125269100,B0G4K50
EWBC,East West Bancorp Inc.,0.38,2039676,249941897.04,US27579R1041,27579R104,2487407
MRNA,Moderna Inc.,0.38,5269393,248662655.67,US60770K1079,60770K107,BGSXTS3
ITT,ITT Inc.,0.38,1274932,248611740.0,US45073V1089,45073V108,BZBY209
WPC,WP Carey Inc.,0.38,3338085,248420285.7,US92936U1097,92936U109,B826YT8
KIM,Kimco Realty Corp.,0.37,10073396,242567375.68,US49446R1095,49446R109,2491594
Q,Qnity Electronics Inc.,0.37,1554072,242435232.0,US74743L1008,74743L100,BW1P234
FCNCA,First Citizens BancShares Inc./NC Class A,0.37,121548,241942509.48,US31946M1036,31946M103,2355582
TXT,Textron Inc.,0.36,2581918,236916795.68,US8832031012,883203101,2885937
OVV,Ovintiv Inc.,0.36,4200379,235389239.16,US69047Q1022,69047Q102,BJ01KB6
NLY,Annaly Capital Management Inc.,0.35,10649924,232700839.4,US0357108390,035710839,BPMQ7X2
IEX,IDEX Corp.,0.35,1102191,232374928.53,US45167R1041,45167R104,2456612
BBY,Best Buy Co. Inc.,0.35,2950995,230030060.25,US0865161014,086516101,2094670
THC,Tenet Healthcare Corp.,0.34,1289209,226024121.88,US88033G4073,88033G407,B8DMK08
MAA,Mid-America Apartment Communities Inc.,0.34,1733026,223681665.82,US59522J1034,59522J103,2589132
APG,API Group Corp.,0.34,5436794,222908554.0,US00187Y1001,00187Y100,BMBPH06
BWA,BorgWarner Inc.,0.33,3069462,220448760.84,US0997241064,099724106,2111955
CNC,Centene Corp.,0.33,3645197,217253741.2,US15135B1017,15135B101,2807061
PFGC,Performance Food Group Co.,0.33,2212508,217246160.52,US71377A1034,71377A103,BYVYD43
