ticker,name,weight,shares_held,market_value,isin,cusip,sedol
FLEX,Flex Ltd.,0.69,8461162,1275774006.36,SG9999000020,Y2573F102,2353058
ALAB,Astera Labs Inc.,0.62,3329805,1141623644.25,US04626A1034,04626A103,BMTQ7V2
CIEN,Ciena Corp.,0.51,1627965,944594131.95,US1717793095,171779309,B1FLZ21
RKLB,Rocket Lab Corp.,0.5,6529791,936894412.68,US7731211089,773121108,BT6C8Z3
CRDO,Credo Technology Group Holding Ltd.,0.48,3741149,883023398.47,KYG254571055,G25457105,BLD13F2
BE,Bloom Energy Corp. Class A,0.47,3066942,874078470.0,US0937121079,093712107,BDD1BB8
EME,EMCOR Group Inc.,0.46,1024848,847364823.36,US29084Q1004,29084Q100,2474164
JBL,Jabil Inc.,0.45,2308740,841674254.4,US4663131039,466313103,2471789
COHR,Coherent Corp.,0.42,2157471,779861042.37,US19247G1076,19247G107,BNG8Z81
FIX,Comfort Systems USA Inc.,0.4,404768,740000905.28,US1999081045,199908104,2036047
RVMD,Revolution Medicines Inc.,0.39,4563537,718665806.76,US76155X1000,76155X100,BL71K91
LITE,Lumentum Holdings Inc.,0.38,821642,702471044.32,US55024U1097,55024U109,BYM9ZP2
NTRA,Natera Inc.,0.37,3048520,680947912.4,US6323071042,632307104,BYQRG48
TPR,Tapestry Inc.,0.37,4659600,677785416.0,US8760301072,876030107,BF09HX3
ASTS,AST SpaceMobile Inc. Class A,0.37,5974113,677524155.33,US00217D1000,00217D100,BNLZ3X8
TWLO,Twilio Inc. Class A,0.36,3486771,664718023.44,US90138F1021,90138F102,BD6P5Q0
NRG,NRG Energy Inc.,0.35,4887227,655279396.16,US6293775085,629377508,2212922
CASY,Casey's General Stores Inc.,0.35,853077,654429489.78,US1475281036,147528103,2179414
ATO,Atmos Energy Corp.,0.35,3807145,643902433.85,US0495601058,049560105,2315359
CW,Curtiss-Wright Corp.,0.34,848463,634319423.43,US2315611010,231561101,2241205
FTI,TechnipFMC plc,0.34,9205203,629819989.26,GB00BDSFG982,G87110105,BDSFG98
NVT,nVent Electric plc,0.33,3721531,621458461.69,IE00BDVJJQ56,G6700G107,BDVJJQ5
FTAI,FTAI Aviation Ltd.,0.33,2360506,614534132.04,KYG3730V1059,G3730V105,BLKFTK4
STRL,Sterling Construction Co. Inc.,0.31,669992,576755913.28,US8592411016,859241101,2632876
P,Pure Storage Inc. Class A,0.31,7218115,573912323.65,US74624M1027,74624M102,BYZ62T3
MTSI,MACOM Technology Solutions Holdings Inc.,0.31,1553661,566526947.04,US55405Y1001,55405Y100,B5B15Y5
UTHR,United Therapeutics Corp.,0.3,1008573,561593617.86,US91307C1027,91307C102,2430412
WSM,Williams-Sonoma Inc.,0.3,2747283,559264400.31,US9699041011,969904101,2967589
ATI,Allegheny Technologies Inc.,0.3,3151517,552019717.72,US01741R1023,01741R102,2526117
MTZ,MasTec Inc.,0.3,1452650,549639180.5,US5763231090,576323109,2155306
XPO,XPO Logistics Inc.,0.3,2561105,548716746.25,US9837931008,983793100,B6Z1355
ILMN,Illumina Inc.,0.29,3342675,544722318.0,US4523271090,452327109,2613990
FN,Fabrinet,0.29,824461,539329407.76,KYG3323L1005,G3323L100,B4JSZL8
SOFI,SoFi Technologies Inc.,0.29,29347471,534710921.62,US83406F1021,83406F102,BM8J4C2
OMC,Omnicom Group Inc.,0.28,7141477,519256792.67,US6819191064,681919106,2279303
EXE,Expand Energy Corp.,0.28,5531563,514324727.74,US1651677353,165167735,BMZ5LZ5
CRS,Carpenter Technology Corp.,0.28,1088977,510708433.46,US1442851036,144285103,2177504
NXT,Nextpower Inc. Class A,0.27,3245967,507669238.8,US65290E1010,65290E101,BR1GTS6
MKSI,MKS Instruments Inc.,0.27,1547747,501872442.22,US55306N1046,55306N104,2404871
FFIV,F5 Networks Inc.,0.27,1300521,498684777.45,US3156161024,315616102,2427599
AKAM,Akamai Technologies Inc.,0.27,3334266,498606137.64,US00971T1016,00971T101,2507457
SW,Smurfit Westrock plc,0.27,12019021,494582714.15,IE00028FXN24,G8267P108,BRK49M5
CHRW,CH Robinson Worldwide Inc.,0.26,2729949,487705388.85,US12541W2098,12541W209,2116228
ENTG,Entegris Inc.,0.26,3498482,485554316.78,US29362U1043,29362U104,2599700
JBHT,JB Hunt Transport Services Inc.,0.26,1741995,481539677.85,US4456581077,445658107,2445416
OKTA,Okta Inc.,0.26,3899497,480690995.19,US6792951054,679295105,BDFZSP1
WWD,Woodward Inc.,0.26,1371942,480220858.26,US9807451037,980745103,2948089
ALB,Albemarle Corp.,0.26,2712050,478459861.0,US0126531013,012653101,2046853
IONQ,IonQ Inc.,0.25,6543575,471595450.25,US46222L1089,46222L108,BP484B3
AA,Alcoa Corp.,0.25,6071948,471426042.72,US0138721065,013872106,BYNF418
FWONK,Liberty Media Corp-Liberty Formula One,0.25,5143769,467002787.51,US5312297550,531229755,BPLYVN5
LSCC,Lattice Semiconductor Corp.,0.25,3147979,463004751.32,US5184151042,518415104,2506658
DD,DuPont de Nemours Inc.,0.25,9410610,455661736.2,US26614N1028,26614N102,BK0VN47
RBA,RB Global Inc.,0.25,4278050,454970617.5,CA74935Q1072,74935Q107,BMWGSD8
RS,Reliance Steel & Aluminum Co.,0.24,1190590,453340954.3,US7595091023,759509102,2729068
AFRM,Affirm Holdings Inc.,0.24,6056171,446036994.15,US00827B1061,00827B106,BMF9NM8
BG,Bunge Global SA,0.24,3561776,439166980.8,CH1300646267,H11356104,BQ6BPG9
RGLD,Royal Gold Inc.,0.24,1951734,438125248.32,US7802871084,780287108,2755706
SNX,SYNNEX Corp.,0.24,1670039,436347789.92,US87162W1009,87162W100,2002554
VTRS,Viatris Inc.,0.23,26495103,430810374.78,US92556V1061,92556V106,BMWS3X9
RBC,RBC Bearings Inc.,0.22,727675,416200993.0,US75524B1044,75524B104,B0GLYB5
USFD,US Foods Holding Corp.,0.22,5075922,415464215.7,US9120081099,912008109,BYVFC94
STLD,Steel Dynamics Inc.,0.22,1596334,415286290.1,US8581191009,858119100,2849472
BWXT,BWX Technologies Inc.,0.22,2104505,412230439.4,US05605H1005,05605H100,BZ0W624
TLN,Talen Energy Corp.,0.22,1051541,406736058.8,US87422Q1094,87422Q109,BRRF114
WCC,WESCO International Inc.,0.22,1119866,404462003.22,US95082P1057,95082P105,2416973
CF,CF Industries Holdings Inc.,0.21,3536189,397290834.15,US1252691001,125269100,B0G4K50
SATS,EchoStar Corp. Class A,0.21,3062205,395606263.95,US2787681061,278768106,B2NC471
EQT,EQT Corp.,0.21,7182513,394535439.09,US26884L1098,26884L109,2319414
TTMI,TTM Technologies Inc.,0.21,2260744,392736447.68,US87305R1095,87305R109,2635659
ROKU,Roku Inc.,0.21,3008388,391631949.84,US77543R1023,77543R102,BZ1LFG7
EWBC,East West Bancorp Inc.,0.21,3165370,387884439.8,US27579R1041,27579R104,2487407
MRNA,Moderna Inc.,0.21,8179458,385988623.02,US60770K1079,60770K107,BGSXTS3
ITT,ITT Inc.,0.21,1978984,385901880.0,US45073V1089,45073V108,BZBY209
WPC,WP Carey Inc.,0.21,5182375,385672347.5,US92936U1097,92936U109,B826YT8
PTC,PTC Inc.,0.2,2738139,379862023.47,US69370C1009,69370C100,B95N910
INCY,Incyte Corp.,0.2,3892445,376555129.3,US45337C1027,45337C102,2471950
KIM,Kimco Realty Corp.,0.2,15632784,376437438.72,US49446R1095,49446R109,2491594
Q,Qnity Electronics Inc.,0.2,2412398,376334088.0,US74743L1008,74743L100,BW1P234
FCNCA,First Citizens BancShares Inc./NC Class A,0.2,188635,375479853.85,US31946M1036,31946M103,2355582
GNRC,Generac Holdings Inc.,0.2,1350293,375259927.63,US3687361044,368736104,B6197Q2
DECK,Deckers Outdoor Corp.,0.2,3266854,371931327.9,US2435371073,243537107,2267278
GH,Guardant Health Inc.,0.2,2867662,371907084.78,US40131M1099,40131M109,BFXC911
TXT,Textron Inc.,0.2,4008411,367811793.36,US8832031012,883203101,2885937
NBIX,Neurocrine Biosciences Inc.,0.2,2309376,365574220.8,US64125C1099,64125C109,2623911
OVV,Ovintiv Inc.,0.2,6520365,365401254.6,US69047Q1022,69047Q102,BJ01KB6
SITM,SiTime Corp.,0.2,514468,365375173.6,US82982T1060,82982T106,BKS48R6
HST,Host Hotels & Resorts Inc.,0.2,15828671,363742859.58,US44107P1049,44107P104,2567503
LII,Lennox International Inc.,0.2,720740,361926798.4,US5261071071,526107107,2442053
NLY,Annaly Capital Management Inc.,0.19,16541314,361427710.9,US0357108390,035710839,BPMQ7X2
RMBS,Rambus Inc.,0.19,2480588,360826330.48,US7509171069,750917106,2721967
IEX,IDEX Corp.,0.19,1710772,360682060.76,US45167R1041,45167R104,2456612
FSLR,First Solar Inc.,0.19,1172995,359863136.05,US3364331070,336433107,B1HMF22
BBY,Best Buy Co. Inc.,0.19,4580842,357076633.9,US0865161014,086516101,2094670
THC,Tenet Healthcare Corp.,0.19,2001396,350884746.72,US88033G4073,88033G407,B8DMK08
SUI,Sun Communities Inc.,0.19,2834986,350574368.76,US8666741041,866674104,2860257
NDSN,Nordson Corp.,0.19,1219502,350399509.66,US6556631025,655663102,2641838
RIVN,Rivian Automotive Inc. Class A,0.19,21350577,348014405.1,US76954A1034,76954A103,BL98841
MAA,Mid-America Apartment Communities Inc.,0.19,2690225,347227340.75,US59522J1034,59522J103,2589132
APG,API Group Corp.,0.19,8441286,346092726.0,US00187Y1001,00187Y100,BMBPH06
BWA,BorgWarner Inc.,0.18,4764375,342177412.5,US0997241064,099724106,2111955
PR,Permian Resources Corp. Class A,0.18,17751790,341366921.7,US71424F1057,71424F105,BQPCHB2
PNFP,Pinnacle Financial Partners Inc.,0.18,3479662,340102163.88,US72348N1090,72348N109,BV6GRD0
MOD,Modine Manufacturing Co.,0.18,1213516,338461747.56,US6078281002,607828100,2598354
PFGC,Performance Food Group Co.,0.18,3434886,337271456.34,US71377A1034,71377A103,BYVYD43
CNC,Centene Corp.,0.18,5658517,337247613.2,US15135B1017,15135B101,2807061
BALL,Ball Corp.,0.18,6122789,334732874.63,US0584981064,058498106,2073022
DY,Dycom Industries Inc.,0.18,655075,334088250.0,US2674751019,267475101,2289841
APTV,Aptiv plc,0.18,4903960,333175042.4,JE00BTDN8H13,G3265R107,BTDN8H1
DKS,Dick's Sporting Goods Inc.,0.18,1451683,330359500.31,US2533931026,253393102,2969637
