ticker,name,weight,shares_held,market_value,isin,cusip,sedol
AMZN,Amazon.com Inc.,22.17,5669627,1534427851.28,US0231351067,023135106,2000019
TSLA,Tesla Inc.,17.69,2810348,1224721554.92,US88160R1014,88160R101,B616C79
HD,Home Depot Inc.,4.57,996563,316049989.82,US4370761029,437076102,2434209
MCD,McDonald's Corp.,2.89,717609,200356432.8,US5801351017,580135101,2550707
TJX,TJX Cos. Inc.,2.51,1123435,173851566.25,US8725401090,872540109,2989301
BKNG,Booking Holdings Inc.,1.98,818781,137088502.83,US09857L1089,09857L108,BDRXDB4
LOW,Lowe's Cos. Inc.,1.76,569853,122153689.08,US5486611073,548661107,2536763
SBUX,Starbucks Corp.,1.67,1162576,115281036.16,US8552441094,855244109,2842255
MAR,Marriott International Inc./MD Class A,1.28,235703,88530046.8,US5719032022,571903202,2210614
GM,General Motors Co.,1.16,968554,80622434.96,US37045V1008,37045V100,B665KZ5
MELI,MercadoLibre Inc.,1.16,47244,80109288.6,US58733R1023,58733R102,B23X1H3
HLT,Hilton Worldwide Holdings Inc.,1.14,240943,78947383.38,US43300A2033,43300A203,BYVMW06
ROST,Ross Stores Inc.,1.13,336717,78027430.41,US7782961038,778296103,2746711
RCL,Royal Caribbean Cruises Ltd.,1.11,269264,76640612.32,LR0008862868,V7780T103,2754907
ORLY,O'Reilly Automotive Inc.,1.1,874800,76002624.0,US67103H1077,67103H107,B65LWX6
F,Ford Motor Co.,1.05,4157194,72501463.36,US3453708600,345370860,2615468
DASH,DoorDash Inc. Class A,0.92,401148,63898864.92,US25809K1051,25809K105,BN13P03
ABNB,Airbnb Inc. Class A,0.87,451187,60147738.97,US0090661010,009066101,BMGYYH4
NKE,NIKE Inc. Class B,0.85,1272273,58817180.79,US6541061031,654106103,2640147
EBAY,eBay Inc.,0.76,482922,52768886.94,US2786421030,278642103,2293819
AZO,AutoZone Inc.,0.74,17410,51101657.9,US0533321024,053332102,2065955
CMG,Chipotle Mexican Grill Inc. Class A,0.65,1409287,44899883.82,US1696561059,169656105,B0X7DZ3
CVNA,Carvana Co. Class A,0.64,606207,44253111.0,US1468691027,146869102,BYQHPG3
YUM,Yum! Brands Inc.,0.64,298101,44104042.95,US9884981013,988498101,2098876
DHI,DR Horton Inc.,0.61,286520,42144226.8,US23331A1097,23331A109,2250687
GRMN,Garmin Ltd.,0.6,178461,41745597.12,CH0114405324,H2906T109,B3Z5T14
