ticker,name,weight,shares_held,market_value,isin,cusip,sedol
NVDA,NVIDIA Corp.,16.78,135640261,28639084707.54,US67066G1040,67066G104,2379504
AAPL,Apple Inc.,15.26,83472585,26048454875.1,US0378331005,037833100,2046251
MSFT,Microsoft Corp.,9.87,37427808,16851496273.92,US5949181045,594918104,2588173
AVGO,Broadcom Inc.,4.49,17149999,7662105053.23,US11135F1012,11135F101,BDZ78H9
MU,Micron Technology Inc.,4.19,7365601,7151998571.0,US5951121038,595112103,2588184
AMD,Advanced Micro Devices Inc.,3.2,10585308,5463077458.8,US0079031078,007903107,2007849
INTC,Intel Corp.,1.95,29083150,3335255642.0,US4581401001,458140100,2463247
CSCO,Cisco Systems Inc.,1.85,26178940,3152467954.8,US17275R1023,17275R102,2198163
LRCX,Lam Research Corp.,1.55,8339485,2653457337.3,US5128073062,512807306,BSML4N7
ORCL,Oracle Corp.,1.45,10968406,2476446706.68,US68389X1054,68389X105,2661568
AMAT,Applied Materials Inc.,1.39,5279594,2376134075.64,US0382221051,038222105,2046552
PLTR,Palantir Technologies Inc. Class A,1.34,14636019,2291122414.26,US69608A1088,69608A108,BN78DQ4
TXN,Texas Instruments Inc.,1.1,6137838,1876214319.84,US8825081040,882508104,2885409
IBM,International Business Machines Corp.,1.08,6188883,1843049357.4,US4592001014,459200101,2005973
QCOM,QUALCOMM Inc.,1.07,7288367,1829525884.34,US7475251036,747525103,2714923
KLAC,KLA Corp.,1.0,886821,1704212783.91,US4824801009,482480100,2480138
SNDK,Sandisk Corp./DE,0.98,985320,1670097693.6,US80004C2008,80004C200,BSNPZV3
PANW,Palo Alto Networks Inc.,0.92,5547971,1562807950.99,US6974351057,697435105,B87ZMX0
ADI,Analog Devices Inc.,0.81,3340646,1382526347.1,US0326541051,032654105,2032067
STX,Seagate Technology Holdings plc,0.78,1516458,1334179748.4,IE00BKVD2N49,G7997R103,BKVD2N4
WDC,Western Digital Corp.,0.75,2405156,1277642918.76,US9581021055,958102105,2954699
CRWD,Crowdstrike Holdings Inc. Class A,0.74,1720105,1257396755.0,US22788C1053,22788C105,BJJP138
APH,Amphenol Corp. Class A,0.73,8360803,1243753054.28,US0320951017,032095101,2145084
MRVL,Marvell Technology Inc.,0.71,5946473,1219026965.0,US5738741041,573874104,BNKJSM5
ANET,Arista Networks Inc.,0.69,7339231,1170387167.57,US0404132054,040413205,BL9XPM3
CRM,salesforce.com Inc.,0.6,5394981,1030980869.1,US79466L3024,79466L302,2310525
GLW,Corning Inc.,0.59,5572680,1009546708.8,US2193501051,219350105,2224701
APP,AppLovin Corp. Class A,0.58,1606216,984754967.44,US03831W1080,03831W108,BMV3LG4
DELL,Dell Technologies Inc.,0.56,2274413,957323175.83,US24703L2025,24703L202,BHKD3S6
NOW,ServiceNow Inc.,0.51,7036697,875154005.89,US81762P1021,81762P102,B80NXX8
ACN,Accenture plc Class A,0.47,4309127,806108387.89,IE00B4BNMY34,G1151C101,B4BNMY3
ADBE,Adobe Inc.,0.44,2914315,755419591.15,US00724F1012,00724F101,2008154
CDNS,Cadence Design Systems Inc.,0.44,2009134,753284610.62,US1273871087,127387108,2302232
FTNT,Fortinet Inc.,0.38,4668628,644130605.16,US34959E1091,34959E109,B5B2106
SNPS,Synopsys Inc.,0.37,1332040,633544864.8,US8716071076,871607107,2867719
INTU,Intuit Inc.,0.37,1900073,629931201.69,US4612021034,461202103,2459020
CIEN,Ciena Corp.,0.36,1056026,612737965.98,US1717793095,171779309,B1FLZ21
SNOW,Snowflake Inc.,0.36,2395877,612266367.35,US8334451098,833445109,BN134B7
