ticker,name,weight,shares_held,market_value,isin,cusip,sedol
LLY,Eli Lilly & Co.,14.01,2407824,2660645520.0,US5324571083,532457108,2516152
JNJ,Johnson & Johnson,8.45,7121446,1604675427.18,US4781601046,478160104,2475833
ABBV,AbbVie Inc.,6.08,5303061,1154582440.92,US00287Y1091,00287Y109,B92SR70
UNH,UnitedHealth Group Inc.,5.45,2721374,1034965745.94,US91324P1021,91324P102,2917766
MRK,Merck & Co. Inc.,4.63,7412681,880033488.32,US58933Y1055,58933Y105,2778844
TMO,Thermo Fisher Scientific Inc.,2.89,1114159,548734449.09,US8835561023,883556102,2886907
AMGN,Amgen Inc.,2.87,1616218,544326060.22,US0311621009,031162100,2023607
GILD,Gilead Sciences Inc.,2.63,3721407,500268743.01,US3755581036,375558103,2369174
ISRG,Intuitive Surgical Inc.,2.38,1064855,452180027.2,US46120E6023,46120E602,2871301
ABT,Abbott Laboratories,2.35,5221565,446965964.0,US0028241000,002824100,2002305
PFE,Pfizer Inc.,2.35,17054767,446493800.06,US7170811035,717081103,2684703
BMY,Bristol-Myers Squibb Co.,1.84,6121464,350025311.52,US1101221083,110122108,2126335
DHR,Danaher Corp.,1.84,1909565,348820238.55,US2358511028,235851102,2250870
CVS,CVS Health Corp.,1.83,3814318,347026651.64,US1266501006,126650100,2577609
VRTX,Vertex Pharmaceuticals Inc.,1.8,762619,341302507.26,US92532F1003,92532F100,2931034
SYK,Stryker Corp.,1.66,1033396,315278785.64,US8636671013,863667101,2853688
MDT,Medtronic plc,1.5,3849568,284136614.08,IE00BTN1Y115,G5960L103,BTN1Y11
MCK,McKesson Corp.,1.44,367239,272652923.16,US58155Q1031,58155Q103,2378534
ELV,Anthem Inc.,1.33,644192,253289852.48,US0367521038,036752103,BSPHGL4
CI,Cigna Corp.,1.15,790508,219286919.2,US1255231003,125523100,BHJ0775
BSX,Boston Scientific Corp.,1.13,4455788,215259118.28,US1011371077,101137107,2113434
REGN,Regeneron Pharmaceuticals Inc.,1.01,311519,191515650.82,US75886F1075,75886F107,2730190
HCA,HCA Healthcare Inc.,0.94,469213,177615889.02,US40412C1018,40412C101,B4MGBG6
EW,Edwards Lifesciences Corp.,0.79,1728555,149468150.85,US28176E1082,28176E108,2567116
COR,AmerisourceBergen Corp. Class A,0.79,554070,149244295.2,US03073E1055,03073E105,2795393
CAH,Cardinal Health Inc.,0.73,705513,138844958.4,US14149Y1082,14149Y108,2175672
IDXX,IDEXX Laboratories Inc.,0.71,238122,134188890.66,US45168D1046,45168D104,2459202
BDX,Becton Dickinson and Co.,0.66,854493,125713010.16,US0758871091,075887109,2087807
ALNY,Alnylam Pharmaceuticals Inc.,0.63,397623,120074193.54,US02043Q1076,02043Q107,B00FWN1
A,Agilent Technologies Inc.,0.6,847186,114819118.58,US00846U1016,00846U101,2520153
WAT,Waters Corp.,0.6,294827,113086792.39,US9418481035,941848103,2937689
HUM,Humana Inc.,0.58,359946,109934707.32,US4448591028,444859102,2445063
ZTS,Zoetis Inc.,0.52,1260814,97952639.66,US98978V1035,98978V103,B95WG16
IQV,IQVIA Holdings Inc.,0.49,508759,92700977.39,US46266C1053,46266C105,BDR73G1
NTRA,Natera Inc.,0.47,403689,90172011.93,US6323071042,632307104,BYQRG48
CNC,Centene Corp.,0.46,1474440,87876624.0,US15135B1017,15135B101,2807061
BIIB,Biogen Inc.,0.45,440013,86242548.0,US09062X1037,09062X103,2455965
GEHC,GE HealthCare Technologies Inc.,0.45,1368013,85281930.42,US36266G1076,36266G107,BL6JPG8
