ticker,name,weight,shares_held,market_value,isin,cusip,sedol
CAT,Caterpillar Inc.,5.78,551826,483327838.62,US1491231015,149123101,2180201
GE,General Electric Co.,4.8,1239178,401196269.28,US3696043013,369604301,BL59CR9
GEV,GE Vernova LLC,3.7,319660,309533171.2,US36828A1016,36828A101,BP6H4Y1
RTX,RTX Corp.,3.43,1596288,286789102.08,US75513E1010,75513E101,BM5M5Y3
BA,Boeing Co.,2.45,885419,204664601.85,US0970231058,097023105,2108601
ETN,Eaton Corp. plc,2.2,460150,184336090.0,IE00B8KQN827,G29183103,B8KQN82
HON,Honeywell International Inc.,2.14,753919,179327173.34,US4385161066,438516106,2020459
UNP,Union Pacific Corp.,1.9,604053,158648479.92,US9078181081,907818108,2914734
DE,Deere & Co.,1.87,288315,156318626.7,US2441991054,244199105,2261203
UBER,Uber Technologies Inc.,1.78,2114047,148828908.8,US90353T1007,90353T100,BK6N347
VRT,Vertiv Holdings Co. Class A,1.63,431076,136095003.96,US92537N1081,92537N108,BL3LWS8
LMT,Lockheed Martin Corp.,1.56,245999,130490169.55,US5398301094,539830109,2522096
PWR,Quanta Services Inc.,1.51,177964,126662317.72,US74762E1029,74762E102,2150204
PH,Parker-Hannifin Corp.,1.51,149690,126432664.7,US7010941042,701094104,2671501
HWM,Howmet Aerospace Inc.,1.47,475529,122805364.25,US4432011082,443201108,BKLJ8V2
TT,Trane Technologies plc,1.42,262500,118466250.0,IE00BK9ZQ967,G8994E103,BK9ZQ96
FDX,FedEx Corp.,1.29,261739,107771033.25,US31428X1063,31428X106,2142784
CMI,Cummins Inc.,1.27,163867,105961318.21,US2310211063,231021106,2240202
ADP,Automatic Data Processing Inc.,1.27,477497,105927934.48,US0530151036,053015103,2065308
WM,Waste Management Inc.,1.21,477721,101018882.66,US94106L1098,94106L109,2937667
CSX,CSX Corp.,1.19,2205727,99831204.02,US1264081035,126408103,2160753
JCI,Johnson Controls International plc,1.16,725898,97313885.88,IE00BY7QL619,G51502105,BY7QL61
EMR,Emerson Electric Co.,1.15,666549,95863077.18,US2910111044,291011104,2313405
MMM,3M Co.,1.14,624712,95662148.56,US88579Y1010,88579Y101,2595708
GD,General Dynamics Corp.,1.13,273033,94693305.06,US3695501086,369550108,2365161
UPS,United Parcel Service Inc. Class B,1.13,883256,94234582.64,US9113121068,911312106,2517382
BE,Bloom Energy Corp. Class A,1.09,320216,91261560.0,US0937121079,093712107,BDD1BB8
NOC,Northrop Grumman Corp.,1.08,160035,90208528.8,US6668071029,666807102,2648806
RKLB,Rocket Lab Corp.,1.06,617026,88530890.48,US7731211089,773121108,BT6C8Z3
TDG,TransDigm Group Inc.,1.01,66981,84283531.92,US8936411003,893641100,B11FJK3
NSC,Norfolk Southern Corp.,0.97,266216,81185231.36,US6558441084,655844108,2641894
ITW,Illinois Tool Works Inc.,0.96,324673,80285139.44,US4523081093,452308109,2457552
FIX,Comfort Systems USA Inc.,0.91,41730,76291203.3,US1999081045,199908104,2036047
URI,United Rentals Inc.,0.89,74723,74399449.41,US9113631090,911363109,2134781
LHX,L3Harris Technologies Inc.,0.84,221537,69824031.66,US5024311095,502431109,BK9DTN5
CTAS,Cintas Corp.,0.83,403373,69081659.98,US1729081059,172908105,2197137
PCAR,PACCAR Inc.,0.82,624154,68887876.98,US6937181088,693718108,2665861
DAL,Delta Air Lines Inc.,0.77,779083,64258765.84,US2473617023,247361702,B1W9D46
GWW,WW Grainger Inc.,0.77,51923,64085443.52,US3848021040,384802104,2380863
AME,AMETEK Inc.,0.73,271611,61343344.35,US0311001004,031100100,2089212
FAST,Fastenal Co.,0.72,1361934,60197482.8,US3119001044,311900104,2332262
ROK,Rockwell Automation Inc.,0.72,133257,60106902.42,US7739031091,773903109,2754060
CARR,Carrier Global Corp.,0.68,891893,56965205.91,US14448C1045,14448C104,BK4N0D7
WAB,Westinghouse Air Brake Technologies Corp.,0.63,201822,52707833.52,US9297401088,929740108,2955733
FERG,Ferguson Enterprises Inc./DE,0.62,230574,52102806.78,US31488V1070,31488V107,BS6VHW3
ODFL,Old Dominion Freight Line Inc.,0.6,222512,50098576.8,US6795801009,679580100,2656423
RSG,Republic Services Inc. Class A,0.57,238157,47736189.08,US7607591002,760759100,2262530
UAL,United Airlines Holdings Inc.,0.53,385083,44207528.4,US9100471096,910047109,B4QG225
EME,EMCOR Group Inc.,0.52,52817,43670151.94,US29084Q1004,29084Q100,2474164
WCN,Waste Connections Inc.,0.49,273186,40710177.72,CA94106B1013,94106B101,BYVG1F6
AXON,Axon Enterprise Inc.,0.49,90595,40651788.4,US05464C1018,05464C101,BDT5S35
PAYX,Paychex Inc.,0.44,382460,37090970.8,US7043261079,704326107,2674458
CPRT,Copart Inc.,0.41,1057093,34640937.61,US2172041061,217204106,2208073
DOV,Dover Corp.,0.4,159883,33792870.88,US2600031080,260003108,2278407
IR,Ingersoll Rand Inc.,0.4,464658,33288099.12,US45687V1061,45687V106,BL5GZ82
CW,Curtiss-Wright Corp.,0.39,43786,32734851.46,US2315611010,231561101,2241205
OTIS,Otis Worldwide Corp.,0.39,461053,32660994.52,US68902V1070,68902V107,BK531S8
NVT,nVent Electric plc,0.38,191793,32027513.07,IE00BDVJJQ56,G6700G107,BDVJJQ5
XYL,Xylem Inc./NY,0.38,288400,31591336.0,US98419M1009,98419M100,B3P2CN8
FTAI,FTAI Aviation Ltd.,0.37,118632,30884654.88,KYG3730V1059,G3730V105,BLKFTK4
STRL,Sterling Construction Co. Inc.,0.37,35493,30553794.12,US8592411016,859241101,2632876
HUBB,Hubbell Inc. Class B,0.36,62889,29784859.29,US4435106079,443510607,BDFG6S3
XPO,XPO Logistics Inc.,0.35,135796,29094293.0,US9837931008,983793100,B6Z1355
ATI,Allegheny Technologies Inc.,0.34,161879,28354725.64,US01741R1023,01741R102,2526117
MTZ,MasTec Inc.,0.33,72486,27426527.82,US5763231090,576323109,2155306
VRSK,Verisk Analytics Inc. Class A,0.33,155337,27182421.63,US92345Y1064,92345Y106,B4P9W92
NXT,Nextpower Inc. Class A,0.32,171778,26866079.2,US65290E1010,65290E101,BR1GTS6
CRS,Carpenter Technology Corp.,0.31,56103,26311184.94,US1442851036,144285103,2177504
CHRW,CH Robinson Worldwide Inc.,0.3,139810,24977056.5,US12541W2098,12541W209,2116228
EXPD,Expeditors International of Washington Inc.,0.3,157758,24924186.42,US3021301094,302130109,2325507
JBHT,JB Hunt Transport Services Inc.,0.3,89797,24822584.71,US4456581077,445658107,2445416
WWD,Woodward Inc.,0.3,70728,24756921.84,US9807451037,980745103,2948089
VLTO,Veralto Corp.,0.29,291361,23958615.03,US92338C1036,92338C103,BPGMZQ5
LUV,Southwest Airlines Co.,0.28,553483,23772094.85,US8447411088,844741108,2831543
EFX,Equifax Inc.,0.28,143134,23730185.86,US2944291051,294429105,2319146
HEI.A,HEICO Corp. Class A,0.28,89849,23343668.69,US4228062083,422806208,2237561
SNA,Snap-on Inc.,0.27,61751,22922588.71,US8330341012,833034101,2818740
BR,Broadridge Financial Solutions Inc.,0.25,138539,21296215.08,US11133T1034,11133T103,B1VP7R6
BWXT,BWX Technologies Inc.,0.25,108701,21292351.88,US05605H1005,05605H100,BZ0W624
WCC,WESCO International Inc.,0.25,57741,20854316.97,US95082P1057,95082P105,2416973
ITT,ITT Inc.,0.25,106056,20680920.0,US45073V1089,45073V108,BZBY209
FTV,Fortive Corp.,0.24,337996,19711926.72,US34959J1088,34959J108,BYT3MK1
GNRC,Generac Holdings Inc.,0.23,69576,19335866.16,US3687361044,368736104,B6197Q2
RBC,RBC Bearings Inc.,0.23,33738,19296786.48,US75524B1044,75524B104,B0GLYB5
TXT,Textron Inc.,0.23,206607,18958258.32,US8832031012,883203101,2885937
LII,Lennox International Inc.,0.22,37169,18664785.04,US5261071071,526107107,2442053
IEX,IDEX Corp.,0.22,88053,18564213.99,US45167R1041,45167R104,2456612
DY,Dycom Industries Inc.,0.22,35623,18167730.0,US2674751019,267475101,2289841
LDOS,Leidos Holdings Inc.,0.22,141975,18144405.0,US5253271028,525327102,BDV82B8
NDSN,Nordson Corp.,0.22,62877,18066448.41,US6556631025,655663102,2641838
HEI,HEICO Corp.,0.21,50859,17708086.62,US4228061093,422806109,2419217
MAS,Masco Corp.,0.2,240886,16922241.5,US5745991068,574599106,2570200
SSNC,SS&C Technologies Holdings Inc.,0.2,250461,16911126.72,US78467J1007,78467J100,B58YSC6
APG,API Group Corp.,0.2,409257,16779537.0,US00187Y1001,00187Y100,BMBPH06
CLH,Clean Harbors Inc.,0.2,59665,16767654.95,US1844961078,184496107,2202473
CSL,Carlisle Cos. Inc.,0.2,48524,16731560.44,US1423391002,142339100,2176318
J,Jacobs Solutions Inc.,0.2,139394,16707764.84,US46982L1089,46982L108,BNGC0D3
MOD,Modine Manufacturing Co.,0.2,59458,16583430.78,US6078281002,607828100,2598354
TRU,TransUnion,0.2,229008,16387812.48,US89400J1079,89400J107,BYMWL86
LECO,Lincoln Electric Holdings Inc.,0.2,63356,16376892.44,US5339001068,533900106,2516851
ROL,Rollins Inc.,0.2,342763,16315518.8,US7757111049,775711104,2747305
MLI,Mueller Industries Inc.,0.19,124668,16032304.8,US6247561029,624756102,2609717
WSO,Watsco Inc.,0.18,41426,15207484.6,US9426222009,942622200,2943039
PL,Planet Labs PBC,0.18,296341,15154878.74,US72703X1063,72703X106,BM8JV32
RRX,Regal Beloit Corp.,0.18,75062,15144509.12,US7587501039,758750103,2730082
GGG,Graco Inc.,0.18,196639,14836412.55,US3841091040,384109104,2380443
SWK,Stanley Black & Decker Inc.,0.18,184391,14644333.22,US8545021011,854502101,B3Q2FJ4
SAIA,Saia Inc.,0.17,30827,14561749.99,US78709Y1055,78709Y105,2982399
HII,Huntington Ingalls Industries Inc.,0.17,46667,14381369.39,US4464131063,446413106,B40SSC9
KTOS,Kratos Defense & Security Solutions Inc.,0.17,222386,14261614.18,US50077B2079,50077B207,2512149
KNX,Knight-Swift Transportation Holdings Inc.,0.17,187767,14200818.21,US4990491049,499049104,BF0LKD0
PNR,Pentair plc,0.16,191536,13568410.24,IE00BLS09M33,G7S00T104,BLS09M3
AIT,Applied Industrial Technologies Inc.,0.16,44286,13454529.66,US03820C1053,03820C105,2086309
CACI,CACI International Inc. Class A,0.16,26192,13449853.92,US1271903049,127190304,2159267
ALLE,Allegion plc,0.16,102276,13303039.32,IE00BFRT3W74,G0176J109,BFRT3W7
SPXC,SPX Technologies Inc.,0.15,57988,12563680.08,US78473E1038,78473E103,BQ1L7V3
QXO,QXO Inc.,0.15,708920,12228870.0,US82846H4056,82846H405,BRDY9L1
MOG.A,Moog Inc. Class A,0.15,33696,12129549.12,US6153942023,615394202,2601218
VMI,Valmont Industries Inc.,0.14,23165,12041398.65,US9202531011,920253101,2926825
OC,Owens Corning,0.14,95280,11988129.6,US6907421019,690742101,B1FW7Q2
GTLS,Chart Industries Inc.,0.14,56834,11811241.88,US16115Q3083,16115Q308,B19HNF4
WMS,Advanced Drainage Systems Inc.,0.14,83116,11566422.56,US00790R1041,00790R104,BP7RS59
AAON,AAON Inc.,0.14,82447,11559069.4,US0003602069,000360206,2268130
AAL,American Airlines Group Inc.,0.14,783716,11473602.24,US02376R1023,02376R102,BCV7KT2
FLS,Flowserve Corp.,0.14,151454,11436291.54,US34354P1057,34354P105,2288406
BAH,Booz Allen Hamilton Holding Corp. Class A,0.14,142922,11316563.96,US0995021062,099502106,B5367T7
DCI,Donaldson Co. Inc.,0.13,137217,11233955.79,US2576511099,257651109,2276467
ALSN,Allison Transmission Holdings Inc.,0.13,98599,11193944.47,US01973R1014,01973R101,B4PZ892
R,Ryder System Inc.,0.13,44172,11080546.2,US7835491082,783549108,2760669
CNM,Core & Main Inc. Class A,0.13,222907,11022751.15,US21874C1027,21874C102,BNXKS92
ACM,AECOM,0.13,153244,10630536.28,US00766T1007,00766T100,B1VZ431
CNH,CNH Industrial NV,0.13,1029295,10509101.95,NL0010545661,N20944109,BDX85Z1
AGX,Argan Inc.,0.13,15704,10474882.08,US04010E1091,04010E109,2804501
AYI,Acuity Brands Inc.,0.12,34145,10417980.95,US00508Y1029,00508Y102,2818461
CR,Crane Co.,0.12,56468,10333644.0,US2244081046,224408104,BNYD4F8
TTC,Toro Co.,0.12,114875,10324965.0,US8910921084,891092108,2897040
ENS,EnerSys,0.12,43698,9961833.06,US29275Y1029,29275Y102,B020GQ5
POWL,Powell Industries Inc.,0.12,34569,9832114.98,US7391281067,739128106,2697422
WTS,Watts Water Technologies Inc. Class A,0.12,31732,9804553.36,US9427491025,942749102,2943620
TKR,Timken Co.,0.12,76503,9790853.94,US8873891043,887389104,2892807
BLDR,Builders FirstSource Inc.,0.12,127846,9749535.96,US12008R1077,12008R107,B0BV2M7
