ticker,name,weight,shares_held,market_value,isin,cusip,sedol
NVDA,NVIDIA Corp.,13.06,33926992,7163345090.88,US67066G1040,67066G104,2379504
AAPL,Apple Inc.,11.95,20993352,6551185425.12,US0378331005,037833100,2046251
MSFT,Microsoft Corp.,8.96,10910802,4912479492.48,US5949181045,594918104,2588173
AVGO,Broadcom Inc.,5.77,7084081,3164954868.37,US11135F1012,11135F101,BDZ78H9
AMZN,Amazon.com Inc.,5.05,10239775,2771292706.0,US0231351067,023135106,2000019
GOOGL,Alphabet Inc. Class A,3.9,5628332,2140679792.88,US02079K3059,02079K305,BYVY8G0
TSLA,Tesla Inc.,3.47,4370557,1904645035.03,US88160R1014,88160R101,B616C79
META,Facebook Inc. Class A,3.19,2766077,1749571363.27,US30303M1027,30303M102,B7TL820
GOOG,Alphabet Inc. Class C,3.15,4582841,1725118837.63,US02079K1079,02079K107,BYY88Y7
LLY,Eli Lilly & Co.,2.67,1323129,1462057545.0,US5324571083,532457108,2516152
V,Visa Inc. Class A,1.57,2635159,860010491.24,US92826C8394,92826C839,B2PZN04
AMD,Advanced Micro Devices Inc.,1.46,1555811,802954057.1,US0079031078,007903107,2007849
COST,Costco Wholesale Corp.,1.28,733060,701039939.2,US22160K1051,22160K105,2701271
LRCX,Lam Research Corp.,1.2,2073665,659798729.7,US5128073062,512807306,BSML4N7
MA,Mastercard Inc. Class A,1.2,1328623,656313189.54,US57636Q1040,57636Q104,B121557
ABBV,AbbVie Inc.,1.16,2925864,637019110.08,US00287Y1091,00287Y109,B92SR70
ORCL,Oracle Corp.,1.14,2780137,627699331.86,US68389X1054,68389X105,2661568
NFLX,Netflix Inc.,1.1,6999477,602095011.54,US64110L1061,64110L106,2857817
PLTR,Palantir Technologies Inc. Class A,1.03,3607568,564728694.72,US69608A1088,69608A108,BN78DQ4
GE,General Electric Co.,1.01,1717884,556182123.84,US3696043013,369604301,BL59CR9
GEV,GE Vernova LLC,0.79,445888,431762268.16,US36828A1016,36828A101,BP6H4Y1
KLAC,KLA Corp.,0.76,217315,417616408.65,US4824801009,482480100,2480138
HD,Home Depot Inc.,0.72,1253156,397425893.84,US4370761029,437076102,2434209
PANW,Palo Alto Networks Inc.,0.68,1321132,372149673.08,US6974351057,697435105,B87ZMX0
APH,Amphenol Corp. Class A,0.55,2015198,299780854.48,US0320951017,032095101,2145084
CRWD,Crowdstrike Holdings Inc. Class A,0.54,408371,298519201.0,US22788C1053,22788C105,BJJP138
ANET,Arista Networks Inc.,0.5,1703751,271697171.97,US0404132054,040413205,BL9XPM3
KO,Coca-Cola Co.,0.45,3138306,247957557.06,US1912161007,191216100,2206657
ISRG,Intuitive Surgical Inc.,0.45,582968,247551531.52,US46120E6023,46120E602,2871301
APP,AppLovin Corp. Class A,0.44,393754,241406639.86,US03831W1080,03831W108,BMV3LG4
UBER,Uber Technologies Inc.,0.43,3325094,234086617.6,US90353T1007,90353T100,BK6N347
AMGN,Amgen Inc.,0.4,655254,220682994.66,US0311621009,031162100,2023607
NOW,ServiceNow Inc.,0.39,1724843,214518723.91,US81762P1021,81762P102,B80NXX8
BKNG,Booking Holdings Inc.,0.39,1261538,211219307.34,US09857L1089,09857L108,BDRXDB4
VRT,Vertiv Holdings Co. Class A,0.36,628304,198361855.84,US92537N1081,92537N108,BL3LWS8
TXN,Texas Instruments Inc.,0.34,614118,187723590.24,US8825081040,882508104,2885409
VRTX,Vertex Pharmaceuticals Inc.,0.34,419179,187599369.66,US92532F1003,92532F100,2931034
ADBE,Adobe Inc.,0.32,676999,175484910.79,US00724F1012,00724F101,2008154
HWM,Howmet Aerospace Inc.,0.31,662239,171023221.75,US4432011082,443201108,BKLJ8V2
CDNS,Cadence Design Systems Inc.,0.31,450632,168955455.76,US1273871087,127387108,2302232
AMAT,Applied Materials Inc.,0.31,371624,167253097.44,US0382221051,038222105,2046552
TT,Trane Technologies plc,0.3,368178,166158731.4,IE00BK9ZQ967,G8994E103,BK9ZQ96
INTU,Intuit Inc.,0.27,450942,149500801.26,US4612021034,461202103,2459020
