ticker,name,weight,shares_held,market_value,isin,cusip,sedol
NEE,NextEra Energy Inc.,11.78,14307722,1244914891.22,US65339F1012,65339F101,2328915
SO,Southern Co.,6.74,7734808,711989076.4,US8425871071,842587107,2829601
DUK,Duke Energy Corp.,6.2,5339634,655333280.82,US26441C2044,26441C204,B7VD3F2
CEG,Constellation Energy Corp.,5.75,2112893,607984960.75,US21037T1097,21037T109,BMH4FS1
AEP,American Electric Power Co. Inc.,4.47,3729530,472419565.1,US0255371017,025537101,2026242
D,Dominion Energy Inc.,3.82,6030851,403705165.94,US25746U1097,25746U109,2542049
SRE,Sempra Energy,3.78,4482618,399535742.34,US8168511090,816851109,2138158
VST,Vistra Energy Corp.,3.52,2322769,372177276.87,US92840M1027,92840M102,BZ8VJQ8
ETR,Entergy Corp.,3.24,3141040,342530412.0,US29364G1031,29364G103,2317087
XEL,Xcel Energy Inc.,3.22,4282584,340465428.0,US98389B1008,98389B100,2614807
EXC,Exelon Corp.,3.03,7018357,320317813.48,US30161N1019,30161N101,2670519
PEG,Public Service Enterprise Group Inc.,2.55,3421923,269134243.95,US7445731067,744573106,2707677
ED,Consolidated Edison Inc.,2.53,2527935,267025774.05,US2091151041,209115104,2216850
WEC,WEC Energy Group Inc.,2.35,2234761,248170209.05,US92939U1060,92939U106,BYY8XK8
PCG,PG&E Corp.,2.34,15109786,246893903.24,US69331C1080,69331C108,2689560
AEE,Ameren Corp.,1.94,1898213,204950057.61,US0236081024,023608102,2050832
DTE,DTE Energy Co.,1.93,1427349,203925351.63,US2333311072,233331107,2280220
ATO,Atmos Energy Corp.,1.82,1135102,191979801.26,US0495601058,049560105,2315359
CNP,CenterPoint Energy Inc.,1.79,4479566,189306459.16,US15189T1079,15189T107,2440637
NRG,NRG Energy Inc.,1.77,1398495,187510209.6,US6293775085,629377508,2212922
EIX,Edison International,1.75,2640907,184705035.58,US2810201077,281020107,2829515
PPL,PPL Corp.,1.73,5160722,182637951.58,US69351T1060,69351T106,2680905
ES,Eversource Energy,1.67,2578724,176049487.48,US30040W1080,30040W108,BVVN4Q8
FE,FirstEnergy Corp.,1.65,3770135,174896562.65,US3379321074,337932107,2100920
AWK,American Water Works Co. Inc.,1.46,1254712,154668348.24,US0304201033,030420103,B2R3PV1
CMS,CMS Energy Corp.,1.45,2113273,153360221.61,US1258961002,125896100,2219224
NI,NiSource Inc.,1.44,3288918,152013789.96,US65473P1057,65473P105,2645409
EVRG,Evergy Inc.,1.23,1580034,129625989.36,US30034W1062,30034W106,BFMXGR0
LNT,Alliant Energy Corp.,1.1,1619115,115944825.15,US0188021085,018802108,2973821
TLN,Talen Energy Corp.,1.03,280300,108420040.0,US87422Q1094,87422Q109,BRRF114
PNW,Pinnacle West Capital Corp.,0.78,830413,82825392.62,US7234841010,723484101,2048804
AES,AES Corp./VA,0.68,4892286,71769835.62,US00130H1059,00130H105,2002479
WTRG,Essential Utilities Inc.,0.64,1846214,68106834.46,US29670G1022,29670G102,BLCF3J9
OGE,OGE Energy Corp.,0.63,1415977,66876593.71,US6708371033,670837103,2657802
OKLO,Oklo Inc. Class A,0.52,826548,55279530.24,US02156V1098,02156V109,BMD78K7
IDA,IDACORP Inc.,0.5,380154,53324201.58,US4511071064,451107106,2296937
UGI,UGI Corp.,0.49,1472656,51425147.52,US9026811052,902681105,2910118
ORA,Ormat Technologies Inc.,0.46,352472,48369732.56,US6866881021,686688102,B03L311
NFG,National Fuel Gas Co.,0.45,619389,47847800.25,US6361801011,636180101,2626103
TXNM,PNM Resources Inc.,0.38,672655,39827902.55,US69349H1077,69349H107,2707826
POR,Portland General Electric Co.,0.38,794031,39796833.72,US7365088472,736508847,B125XQ6
NJR,New Jersey Resources Corp.,0.36,691960,38230790.0,US6460251068,646025106,2630513
BKH,Black Hills Corp.,0.36,521806,37997912.92,US0921131092,092113109,2101741
SWX,Southwest Gas Holdings Inc.,0.34,422017,36382085.57,US8448951025,844895102,2831888
OGS,ONE Gas Inc.,0.32,430621,33476476.54,US68235P1084,68235P108,BJ0KXV4
CWEN,Clearway Energy Inc.,0.32,810406,33356310.96,US18539C2044,18539C204,BGJRH57
SR,Spire Inc.,0.32,405492,33355771.92,US84857L1017,84857L101,BYXJQG9
NWE,Northwestern Energy Group Inc.,0.28,421929,29792406.69,US6680743050,668074305,B03PGL4
MDU,MDU Resources Group Inc.,0.27,1334181,28124535.48,US5526901096,552690109,2547323
AVA,Avista Corp.,0.22,566398,23488525.06,US05379B1070,05379B107,2942605
OTTR,Otter Tail Corp.,0.21,259041,22448493.06,US6896481032,689648103,2664103
AWR,American States Water Co.,0.2,267946,20704187.42,US0298991011,029899101,2267171
CPK,Chesapeake Utilities Corp.,0.19,164625,20301555.0,US1653031088,165303108,2190750
MGEE,MGE Energy Inc.,0.18,252138,19036419.0,US55277P1049,55277P104,2554163
CWT,California Water Service Group,0.17,408981,18445043.1,US1307881029,130788102,2165383
FRVO,Fervo Energy Co. Class A,0.16,454264,16653318.24,US31556C1062,31556C106,BVK0QZ3
HE,Hawaiian Electric Industries Inc.,0.15,1184204,15749913.2,US4198701009,419870100,2415204
HTO,H2O America,0.15,265377,15346751.91,US7843051043,784305104,2811932
NWN,Northwest Natural Holding Co.,0.13,278052,13482741.48,US66765N1054,66765N105,BFNR303
