ticker,name,weight,shares_held,market_value,isin,cusip,sedol
NVDA,NVIDIA Corp.,13.1,244368672,51596001406.08,US67066G1040,67066G104,2379504
AAPL,Apple Inc.,12.32,155425897,48502205417.82,US0378331005,037833100,2046251
MSFT,Microsoft Corp.,8.99,78640148,35406940235.52,US5949181045,594918104,2588173
GOOGL,Alphabet Inc. Class A,5.95,61653958,23449466385.72,US02079K3059,02079K305,BYVY8G0
AVGO,Broadcom Inc.,5.17,45532906,20342736413.62,US11135F1012,11135F101,BDZ78H9
AMZN,Amazon.com Inc.,4.85,70576966,19100950078.24,US0231351067,023135106,2000019
GOOG,Alphabet Inc. Class C,4.68,48950230,18426335078.9,US02079K1079,02079K107,BYY88Y7
META,Facebook Inc. Class A,3.73,23209263,14680090940.13,US30303M1027,30303M102,B7TL820
TSLA,Tesla Inc.,3.31,29895976,13028367381.04,US88160R1014,88160R101,B616C79
LLY,Eli Lilly & Co.,2.53,9032150,9980525750.0,US5324571083,532457108,2516152
AMD,Advanced Micro Devices Inc.,2.3,17526356,9045352331.6,US0079031078,007903107,2007849
V,Visa Inc. Class A,1.45,17503193,5712342067.48,US92826C8394,92826C839,B2PZN04
COST,Costco Wholesale Corp.,1.15,4748460,4541047267.2,US22160K1051,22160K105,2701271
LRCX,Lam Research Corp.,1.09,13481712,4289611124.16,US5128073062,512807306,BSML4N7
MA,Mastercard Inc. Class A,1.07,8529349,4213327819.02,US57636Q1040,57636Q104,B121557
ORCL,Oracle Corp.,1.07,18589151,4197058512.78,US68389X1054,68389X105,2661568
NFLX,Netflix Inc.,0.99,45199462,3888057721.24,US64110L1061,64110L106,2857817
PLTR,Palantir Technologies Inc. Class A,0.93,23368728,3658140681.12,US69608A1088,69608A108,BN78DQ4
GEV,GE Vernova LLC,0.72,2920114,2827604788.48,US36828A1016,36828A101,BP6H4Y1
SNDK,Sandisk Corp./DE,0.71,1646218,2790306585.64,US80004C2008,80004C200,BSNPZV3
KLAC,KLA Corp.,0.7,1427179,2742624156.09,US4824801009,482480100,2480138
PANW,Palo Alto Networks Inc.,0.64,8964358,2525170005.02,US6974351057,697435105,B87ZMX0
STX,Seagate Technology Holdings plc,0.55,2463445,2167338911.0,IE00BKVD2N49,G7997R103,BKVD2N4
MCD,McDonald's Corp.,0.54,7680142,2144295646.4,US5801351017,580135101,2550707
MRVL,Marvell Technology Inc.,0.51,9848422,2018926510.0,US5738741041,573874104,BNKJSM5
APH,Amphenol Corp. Class A,0.51,13418022,1996064952.72,US0320951017,032095101,2145084
BA,Boeing Co.,0.5,8543819,1974903761.85,US0970231058,097023105,2108601
AMAT,Applied Materials Inc.,0.5,4366718,1965285103.08,US0382221051,038222105,2046552
CRWD,Crowdstrike Holdings Inc. Class A,0.49,2661794,1945771414.0,US22788C1053,22788C105,BJJP138
TJX,TJX Cos. Inc.,0.48,12089870,1870907382.5,US8725401090,872540109,2989301
ANET,Arista Networks Inc.,0.47,11711065,1867563535.55,US0404132054,040413205,BL9XPM3
GE,General Electric Co.,0.45,5439295,1761026149.2,US3696043013,369604301,BL59CR9
APP,AppLovin Corp. Class A,0.42,2708030,1660266112.7,US03831W1080,03831W108,BMV3LG4
ISRG,Intuitive Surgical Inc.,0.42,3868102,1642550833.28,US46120E6023,46120E602,2871301
UBER,Uber Technologies Inc.,0.4,22500399,1584028089.6,US90353T1007,90353T100,BK6N347
WELL,Welltower Inc.,0.4,7649511,1570674093.63,US95040Q1040,95040Q104,BYVYHH4
TXN,Texas Instruments Inc.,0.39,5085726,1554604723.68,US8825081040,882508104,2885409
BKNG,Booking Holdings Inc.,0.37,8677326,1452844692.18,US09857L1089,09857L108,BDRXDB4
NOW,ServiceNow Inc.,0.36,11506202,1431026342.74,US81762P1021,81762P102,B80NXX8
VRT,Vertiv Holdings Co. Class A,0.34,4275438,1349798530.98,US92537N1081,92537N108,BL3LWS8
VRTX,Vertex Pharmaceuticals Inc.,0.32,2807728,1256570589.12,US92532F1003,92532F100,2931034
SBUX,Starbucks Corp.,0.32,12607634,1250172987.44,US8552441094,855244109,2842255
PWR,Quanta Services Inc.,0.3,1684986,1199255085.78,US74762E1029,74762E102,2150204
ADBE,Adobe Inc.,0.3,4536065,1175793408.65,US00724F1012,00724F101,2008154
EQIX,Equinix Inc.,0.3,1098221,1172943956.84,US29444U7000,29444U700,BVLZX12
CDNS,Cadence Design Systems Inc.,0.3,3104195,1163855831.35,US1273871087,127387108,2302232
SYK,Stryker Corp.,0.29,3794001,1157511765.09,US8636671013,863667101,2853688
HWM,Howmet Aerospace Inc.,0.29,4461505,1152183666.25,US4432011082,443201108,BKLJ8V2
WDC,Western Digital Corp.,0.27,2019401,1072726005.21,US9581021055,958102105,2954699
SNPS,Synopsys Inc.,0.26,2152598,1023818660.76,US8716071076,871607107,2867719
INTU,Intuit Inc.,0.26,3057652,1013703367.56,US4612021034,461202103,2459020
DDOG,Datadog Inc. Class A,0.25,3913654,968042316.9,US23804L1035,23804L103,BKT9Y49
SNOW,Snowflake Inc.,0.24,3745432,957145147.6,US8334451098,833445109,BN134B7
FTNT,Fortinet Inc.,0.24,6923850,955283584.5,US34959E1091,34959E109,B5B2106
CRM,salesforce.com Inc.,0.24,4959853,947827908.3,US79466L3024,79466L302,2310525
